cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
4 Z 1,11,Manuscrit imprimé,_,"Conclusions de l'avocat général de Montureux, dans l'affaire de Messieurs de Bassompierre contre le baron d'Eltz.",Papier cartonné,Français,"Nancy, Jean-Baptiste Cusson",_,"Conclusions de l'avocat général de Montureux, dans l'affaire de Messieurs de Bassompierre contre le baron d'Eltz.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,12,Manuscrit imprimé,Léopold,Mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Papier cartonné,Français,"Nancy, Sébastien Bachot",19 juin 1774,Mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,13,Manuscrit imprimé,Juzan de la Tour,Supplément au mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Papier cartonné,Français,"Nancy, Sébastien Bachot",1er juillet 1774,Supplément au mémoire pour les Dames de Poussay contre le comte de Rouvroy et le marquis de Fussey. ,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,14,Manuscrit imprimé,Léopold,"Précis de M. M. Labbé, comte de Rouvroy et de Coussey, et du marquis de Fussey contre les dames abbesse, du chapitre de Poussey. ",Papier cartonné,Français,_,1er juillet 1774,"Précis de M. M. Labbé, comte de Rouvroy et de Coussey, et du marquis de Fussey contre les dames abbesse, du chapitre de Poussey. ",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,15,Manuscrit imprimé,Me de Mirbeck,"Réponse pour les dames du chapitre de Poussay, à la requête de M; Labbé, comte de Rouvroy et de M. de Fussey.",Papier cartonné,Français,J. G. Clousier,"Tuesday, November 08, 1904","Réponse pour les dames du chapitre de Poussay, à la requête de M; Labbé, comte de Rouvroy et de M. de Fussey.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,16,Manuscrit imprimé,Henry,Consultation pour Claude François Labbé.,Papier cartonné,Français,"Nancy, MM. Scolastique",10 mai 1777,Consultation pour Claude François Labbé.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,17,Manuscrit imprimé,Roxard de la Salle,Analyse de la cause d'entre le comte de Coussey et le comte de Rouvroy.,Papier cartonné,Français,"Nancy, P. Barbier",20 juillet 1777,Analyse de la cause d'entre le comte de Coussey et le comte de Rouvroy.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,18,Manuscrit imprimé,Rheyne,Mémoire à consulter pour Charles Labbé contre Claude François Labbé.,Papier cartonné,Français,"Nancy, Thomas",12 juillet 1777,Mémoire à consulter pour Charles Labbé contre Claude François Labbé.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 1,19,Manuscrit imprimé,Rozières,Mémoire Mauljean contre Coussey.,Marron,Français,"Nancy, C. S. Lamort","Saturday, November 19, 1904",Mémoire Mauljean contre Coussey.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""","Rez-de-chausser, travée 24 (71)"
4 Z 2,1,Manuscrit imprimé,Maultrot,Mémoire à consulter pour Charles Joseph Gabriel de Beauchamps de Bermont.,Papier cartonné,Français,Demonville,4 octobre 1780,Mémoire à consulter pour Charles Joseph Gabriel de Beauchamps de Bermont.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,2,Manuscrit imprimé,De Beauchamps,"Précis pour Charles Joseph Gabriel de Beauchamps, dit de Bermont.",Papier cartonné,Français,"Nancy, Veuve Leclerc",28 mars 1781,"Précis pour Charles Joseph Gabriel de Beauchamps, dit de Bermont.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,3,Manuscrit imprimé,François de Serocourt,Mémoire pour Charles François de Vigneron contre Jean Baptiste Verdet.,Papier cartonné,Français,"Nancy, H. Haener",23 janvier 1781,Mémoire pour Charles François de Vigneron contre Jean Baptiste Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,4,Manuscrit imprimé,Collenel,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Papier cartonné,Français,_,31 juillet 1781,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,5,Manuscrit imprimé,Prugnon,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Papier cartonné,Français,"Nancy, C. S. Lamort",26 mai 1782,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,6,Manuscrit imprimé,Malriat,Preuves de l'état du sieur de Beauchamps.,Papier cartonné,Français,"Nancy, Veuve Leclerc",28 mai 1782,Preuves de l'état du sieur de Beauchamps.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,7,Manuscrit imprimé,Verdet,Mémoire pour le Me Verdet contre de Vigneron.,Papier cartonné,Français,_,22 mai 1781,Mémoire pour le Me Verdet contre de Vigneron.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,8,Manuscrit imprimé,Dommary,"Précis pour servir à la suite du mémoire de Me Verdet, imprimé le 22 mai 1781.",Papier cartonné,Français,_,27 juillet 1782,"Précis pour servir à la suite du mémoire de Me Verdet, imprimé le 22 mai 1781.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,9,Manuscrit imprimé,Popot,Mémoire pour M. de Vigneron contre Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Charlot",1er août 1782,Mémoire pour M. de Vigneron contre Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,10,Manuscrit imprimé,Verdet,Post-scriptum au Précis de Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Leclerc",20 août 1782,Post-scriptum au Précis de Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,11,Manuscrit imprimé,Mollevaut,Plaidoyer de Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Leclerc",22 août 1782,Plaidoyer de Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,12,Manuscrit imprimé,Brouet,Mémoire à consulter pour Me Denis contre Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Charlot",24 janvier 1783,Mémoire à consulter pour Me Denis contre Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,13,Manuscrit imprimé,Cognel,Echantillon de la cause d'entre les sieurs Anthoine l'Ainé et d'Auxonne et les sieurs et Dame de Bacourt.,Papier cartonné,Français,"Nancy, C. S. Lamort",9 août 1782,Echantillon de la cause d'entre les sieurs Anthoine l'Ainé et d'Auxonne et les sieurs et Dame de Bacourt.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,14,Manuscrit imprimé,Mauljean,Mémoire pour le sieur Dominique Marc Anthoine contre Marc Hyacinthe Anthoine de Bacourt.,Papier cartonné,Français,_,21 janvier 1783,Mémoire pour le sieur Dominique Marc Anthoine contre Marc Hyacinthe Anthoine de Bacourt.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,15,Manuscrit imprimé,F. Aerts,Mémoire pour le sieur François Aerts contre les sieurs Dominique Marc Antoine l'Ainé.,Papier cartonné,Français,"Nancy, Veuve Leclerc",23 janvier 1783,Mémoire pour le sieur François Aerts contre les sieurs Dominique Marc Antoine l'Ainé.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 2,16,Manuscrit imprimé,Pierson,Observations pour le sieur Anthoine fils contre les sieur Anthoine l'ainé et d'Auxonne.,Papier cartonné,Français,"Nancy, Veuve Leclerc","Thursday, November 17, 1904",Observations pour le sieur Anthoine fils contre les sieur Anthoine l'ainé et d'Auxonne.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""","Rez-de-chausser, travée 24 (71)"
4 Z 3,1,Manuscrit imprimé,M. Fournier,"Factum pour François, comte de Gourcy, contre Pierre de Bainville.",Papier cartonné,Français,_,"Monday, September 05, 1904","Factum pour François, comte de Gourcy, contre Pierre de Bainville.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,2,Manuscrit imprimé,_,"Mémoire pour Antoine Clérialde de Choiseul-Beaupré, contre les sieurs de Ligniville, de la chataigneraie et de Gourcy. ",Papier cartonné,Français,_,6 avril 1761,"Mémoire pour Antoine Clérialde de Choiseul-Beaupré, contre les sieurs de Ligniville, de la chataigneraie et de Gourcy. ",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,3,Manuscrit imprimé,_,Réponse pour les sieurs Honoré de Ligniville et François Ernest de Lapierre au mémoire de Antoine Clériade de Choiseul-Beaupré.,Papier cartonné,Français,"Nancy, Thomas",27 juin 1761,Réponse pour les sieurs Honoré de Ligniville et François Ernest de Lapierre au mémoire de Antoine Clériade de Choiseul-Beaupré.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,4,Manuscrit imprimé,M. Duhomme,"Mémoire signifié pour George Remi Verdet contre Antoine Clériadus, marquis de Choiseul-Beaupré.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",8 février 1772,"Mémoire signifié pour George Remi Verdet contre Antoine Clériadus, marquis de Choiseul-Beaupré.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,5,Manuscrit imprimé,Grandjean,"Précis pour Antoine Clériadus, marquis de Choiseul-Beaupré contre Me Bron.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",5 décembre 1774,"Précis pour Antoine Clériadus, marquis de Choiseul-Beaupré contre Me Bron.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,6,Manuscrit imprimé,_,Mémoire et consultation pour la Dame comtesse de Choiseul et pour les chanoinesses du chapitre de Saint Louis de Metz.,Papier cartonné,Français,_,"Monday, November 14, 1904",Mémoire et consultation pour la Dame comtesse de Choiseul et pour les chanoinesses du chapitre de Saint Louis de Metz.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,7,Manuscrit imprimé,Me Chassel,Mémoire pour le chapitre de Bouxières contre demoiselle de La Cour en Voivre.,Marron,Français,"Nancy, Veuve Leclerc",_,Mémoire pour le chapitre de Bouxières contre demoiselle de La Cour en Voivre.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,8,Manuscrit imprimé,Me de Nicéville,Plaidoyer pour Mademoiselle de La Tour contre le chapitre de Bouxières.,Papier cartonné,Français,"Nancy, L. Beaurain",_,Plaidoyer pour Mademoiselle de La Tour contre le chapitre de Bouxières.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 3,9,Manuscrit imprimé,_,"Mémoire pour les Dames abbesse, doyenne, chanoinesses et chapitre de l'insigne église collégiale et séculière de Saint Pierre de Remiremont contre le sieur Charles Antoine Royer.",Papier,Français,"Saint-Mihiel, Lambert Goffin",_,"Mémoire pour les Dames abbesse, doyenne, chanoinesses et chapitre de l'insigne église collégiale et séculière de Saint Pierre de Remiremont contre le sieur Charles Antoine Royer.",Mauvais,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""","Rez-de-chausser, travée 24 (71)"
4 Z 4,13,Manuscrit imprimé,_,Précis pour le comte de Morvilliers contre les habitants de Blevaincourt.,Papier cartonné,Français,"Nancy, Pierre Antoine",20 août 1761,Précis pour le comte de Morvilliers contre les habitants de Blevaincourt.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,14,Manuscrit imprimé,M. de Beze de Lys,Mémoire signifié pour le comte de Morvilliers seigneur de Vrécourt contre les habitants de Robécourt.,Papier cartonné,Français,Veuve Paulus-du-Mesnil,_,Mémoire signifié pour le comte de Morvilliers seigneur de Vrécourt contre les habitants de Robécourt.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,15,Manuscrit imprimé,_,Mémoire à consulter pour Charles Antoine marquis de Spada.,Papier cartonné,Français,"Nancy, Sébastien Bachot",21 juillet 1773,Mémoire à consulter pour CharlesCharles Antoine marquis de Spada.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,16,Manuscrit imprimé,Olry,Consultation sur le testament ducomte de Morvilliers.,Papier cartonné,Français,"nancy, Leseure",13 août 1773,Consultation sur le testament ducomte de Morvilliers.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,17,Manuscrit imprimé,M. Husson,"Mémoire pour Louis marquis de Croismare et François Ulrich, comte de Chamissot contre Charles Antoine marquis de Spada.",Papier cartonné,Français,"Nancy, Pierre Antoine",16 août 1773,"Mémoire pour Louis marquis de Croismare et François Ulrich, comte de Chamissot contre Charles Antoine marquis de Spada.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,1,Manuscrit imprimé,Pasquier,Mémoire pour le baron de Lubert contre Marie Magdelaine Arnoud de Prémont.,Papier cartonné,Français,Demonville,"Tuesday, November 15, 1904",Mémoire pour le baron de Lubert contre Marie Magdelaine Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,2,Manuscrit imprimé,Arnould de Prémont,Mémoire pour Joseph Sigisbert Arnoud de Prémont contre Mdeleine Félicité de Mortal.,Papier cartonné,Français,"Nancy, P. Barbier",4 juillet 1784,Mémoire pour Joseph Sigisbert Arnoud de Prémont contre Mdeleine Félicité de Mortal.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,3,Manuscrit imprimé,_,Mémoire et consultation pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Papier cartonné,Français,Quillau,14 décembre 1785,Mémoire et consultation pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,4,Manuscrit imprimé,Arnould de Prémont,Précis pour le sieur de Prémont.,Papier cartonné,Français,"Nancy, P. Barbier",26 décembre 1785,Précis pour le sieur de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,5,Manuscrit imprimé,M. de la Neuveville,"Précis pour Marguerite Catherine le Febvre de Saint-Germain, douainière du sieur de Mortal.",Papier cartonné,Français,"Nancy, Veuve Leclerc",22 janvier 1786,"Précis pour Marguerite Catherine le Febvre de Saint-Germain, douainière du sieur de Mortal.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,6,Manuscrit imprimé,Bigot de Fréameneu,Consultation pour Marguerite Félicité de Mortal.,Papier cartonné,Français,L. Jorry,5 décembre 1788,Consultation pour Marguerite Félicité de Mortal.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,7,Manuscrit imprimé,Jacquemin,Mémoire pour Joseph Sigisbert Arnould de Prémont contre Madeleine Félicité de Mortal. ,Papier cartonné,Français,"Nancy, P. Barbier",30 avril 1789,Mémoire pour Joseph Sigisbert Arnould de Prémont contre Madeleine Félicité de Mortal. ,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
n.c.,,Manuscrit imprimé,_,Arnould de Prémont baron de Grey contre Madeleine Félicité de Mortal.,Papier cartonné,Français,_,30 avril 1789,Arnould de Prémont baron de Grey contre Madeleine Félicité de Mortal.,Double incomplet,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,8,Manuscrit imprimé,Me Philbert,Mémoire pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Papier cartonné,Français,_,19 et 23 mai 1789,Mémoire pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,9,Manuscrit imprimé,M. Thieriet,Réponse du sieur de Prémont aux mémoire et plaidoyer imprimés de son épouse.,Papier cartonné,Français,"Nancy, P. Barbier",3 juin 1789,Réponse du sieur de Prémont aux mémoire et plaidoyer imprimés de son épouse.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,10,Manuscrit imprimé,M. Renard de Bel-Air,"Réponse au dernier mémoire du sieur de Prémont, contre son épouse.",Papier cartonné,Français,"Nancy, H. Haener",4 juin 1789,"Réponse au dernier mémoire du sieur de Prémont, contre son épouse.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,11,Manuscrit imprimé,_,"Réplique anticipée au plaidoyer de Me Thieriet, eu la cause d'entre les sieurs et Dame de Prémont.",Papier cartonné,Français,_,_,"Réplique anticipée au plaidoyer de Me Thieriet, eu la cause d'entre les sieurs et Dame de Prémont.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 4,12,Manuscrit imprimé,M. Thieriet,"Réponse de M. de Prémont, aux deux mémoires de son épouse, intitulés: Réplique anticipée et précis.",Papier cartonné,Français,"Nancy, P. Barbier",_,"Réponse de M. de Prémont, aux deux mémoires de son épouse, intitulés: Réplique anticipée et précis.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""","Rez-de-chausser, travée 24 (71)"
4 Z 5,1,Manuscrit imprimé,Jacquemin,Précis pour l'insigne chapitre de Remiremont contre la Dame de Raigecourt.,Papier cartonné,Français,"Nancy, Veuve Leclerc",20 décembre 1780,Précis pour l'insigne chapitre de Remiremont contre la Dame de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""","Rez-de-chausser, travée 24 (71)"
4 Z 5,2,Manuscrit imprimé,Raigecourt,Précis pour la comtesse de Raigecourt.,Papier cartonné,Français,"Nancy, H. Haener",29 décembre 1780,Précis pour la comtesse de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""","Rez-de-chausser, travée 24 (71)"
4 Z 5,3,Manuscrit imprimé,Roederer,Mémoire pour la comtesse de Raigecourt.,Papier cartonné,Français,"Metz, Jean Baptiste Collignon",10 février 1781,Mémoire pour la comtesse de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""","Rez-de-chausser, travée 24 (71)"
4 Z 5,4,Manuscrit imprimé,M. de Nicéville,"Mémoire pour le marquis de raigecourt Gournay contre la Dame, comtesse de Lenoncourt.",Papier cartonné,Français,"Nancy, Pierre Antoine",7 mars 1771,"Mémoire pour le marquis de raigecourt Gournay contre la Dame, comtesse de Lenoncourt.",Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""","Rez-de-chausser, travée 24 (71)"
