id;epi;travee;tablette;cote;ordre;lieu;format;auteur;titre;annee;tome;etat;commentaire
55;10;38;2;8 S 1623;;;in-8;PERDRIZET, Paul;Negotium perambulans in tenebris;1922;;bon;
56;10;38;2;8 S 1624;;;in-8;CROIX, Camille de la ;Etude sommaire du baptistère saint-Jean de Poitiers;1904;;bon;
57;10;38;3;8 S 1625;;;in-8;DE TISSOT, Paul;Etude historique et juridique sur la condition des agrimensores dans l'ancienne Rome;1879;;bon;
58;10;38;3;8 S 1626;;;in-8;WUILLEUMIER, Pierre;L'administration de la Lyonnaise sous le Haut-Empire;1948;;bon;
59;10;38;3;8 S 1627;;;in-8;SPENCER NORTHCOTE, J. et BROWNLOW, W.-R.;Rome souterraine;1887;;bon;
60;10;38;3;8 S 1628;;;in-8;BOUFFARD, Pierre;Nécropoles Burgondes de la Suisse;1945;;bon;
61;10;38;3;8 S 1629;;;in-8;VIOLLIER, David;Etude sur les fibules de l'age de Fer trouvées en Suisse;1908;;bon;
62;10;38;3;8 S 1630;;;in-8;PEYRONY, D.;Eléments de préhistoire;1948;;bon;
63;10;38;3;8 S 1631;;;in-8;PIGANIOL, André;Recherches sur les jeux romains;1923;;bon;
64;10;38;3;8 S 1632;;;in-8;CHATILLON, François;Lucvs cvi nomen theopoli est?;1943;;bon;
65;10;38;3;8 S 1633;;;in-8;DECHELETTE, Joseph;Les Fouilles du Mont Beuvray;1904;;bon;
66;10;38;3;8 S 1634;;;in-8;MESNIL DU BUISSON, comte du;La technique des fouilles archéologiques ;1934;;bon;
67;10;38;3;8 S 1635;;;in-8;RAMBAUD, Alfred;L'empire Grec au dixième siècle;1870;;bon;
68;10;38;3;8 S 1636;;;in-8;GAUTIER, Léon;Les épopées Françaises (I);1865;;bon;
69;10;38;3;8 S 1636;;;in-8;GAUTIER, Léon;Les épopées Françaises (II);1867;;bon;
70;10;38;3;8 S 1636;;;in-8;GAUTIER, Léon;Les épopées Françaises (III);1868;;bon;
71;10;38;3;8 S 1637;;;in-8;PURNOT, Paul;La tutelle de la garde-noble et bourgeoise;1907;;bon;
72;10;38;3;8 S 1638;;;in-8;DE SAINT-PALAIS D'AUSSAC, F.;Le droit de dépouille;1930;;bon;
73;10;38;3;8 S 1639;;;in-8;CALMETTE, Joseph;La diplomatie Carolingienne;1901;;bon;
74;10;38;3;8 S 1640;;;in-8;ECKEL, Auguste;Charles le simple;1899;;bon;
75;10;38;3;8 S 1641;;;in-8;LAUER, Ph.;Robert 1er et Raoul de Bourgogne rois de France;1910;;bon;
76;10;38;3;8 S 1642;;;in-8;LAUER, Ph.;Le règne de Louis IV d'outre mer;1900;;bon;
77;10;38;3;8 S 1643;;;in-8;LOT, Ferdinand;Etudes sur le règne de Hugues Capet;1903;;bon;
78;10;38;3;8 S 1644;;;in-8;PFISTER, Ch.;Etudes sur le règne de Robert le pieux;1885;;bon;
79;10;38;3;8 S 1645;;;in-8;MENDEL NEWMAN, William;Catalogue des actes de Robert II;1937;;bon;
80;10;38;3;8 S 1646;;;in-8;SOEHNEE, Frédéric;Catlogue des actes d'Henri premier roi de France;1907;;bon;
81;10;38;3;8 S 1647;;;in-8;LUCHAIRE, Achille;Louis VI le gros;1890;;bon;
82;10;38;3;8 S 1648;;;in-8;FLICHE, Augustin;Le règne de Philippe 1er roi de France;1912;;bon;0,89 m 
83;10;38;3;8 S 1649;;;in-8;GAUTIER, A.-F.;Genséric roi des vandales;1932;;bon;
84;10;38;3;8 S 1650;;;in-8;GORCE, M.-M.;Clovis;1935;;bon;
85;10;38;3;8 S 1651;;;in-8;CORYN, M. S.;Bertrand du Gesclin;1934;;bon;
86;10;38;3;8 S 1652;;;in-8;BALLAGUY, Paul;Bayard;1935;;bon;
87;10;38;3;8 S 1653;;;in-8;DE ZIEGLER, Henri;Vie de l'empereur Frédéric II de Hohenstaufen;1935;;bon;
88;10;38;3;8 S 1654;;;in-8;OULMONT, Charles;Pierre Gringore;1911;;bon;
89;10;38;3;8 S 1655;;;in-8;PICOT, Emile;Pierre Gringore et les comédiens Italiens;1878;;bon;
90;10;38;3;8 S 1656;;;in-8;CHAMPION, Pierre;François Villon sa vie et son temps (tome premier);1933;;bon;
91;10;38;3;8 S 1656;;;in-8;CHAMPION, Pierre;François Villon sa vie et son temps (tome second);1933;;bon;
92;10;38;3;8 S 1657;;;in-8;CAMPEAUX, Antoine;François Villon sa vie et ses oeuvres;1859;;bon;
93;10;38;3;8 S 1658;;;in-8;CHAMPION, Pierre;Ronsard et son temps;1925;;bon;
94;10;38;3;8 S 1659;;;in-8;DE VAISSIERE, Pierre;De quelques assassins;1912;;bon;
95;10;38;3;8 S 1660;;;in-8;CALMETTE, Joseph;Le grand règne de Louis XI;1943;;bon;
96;10;38;3;8 S 1661;;;in-8;CHERIER, C. de;Histoire de Charles VIII roi de France (tome premier);1868;;bon;
97;10;38;3;8 S 1661;;;in-8;CHERIER, C. de;Histoire de Charles VIII roi de France (tome premier);1870;;bon;
98;10;38;3;8 S 1662;;;in-8;CHAMPION, Pierre;Henri III roi de Pologne;1944;;bon;
99;10;38;3;8 S 1663;;;in-8;ERLANGER, Pierre;Richelieu (*);1967;;bon;
100;10;38;3;8 S 1663;;;in-8;ERLANGER, Pierre;Richelieu (**);1969;;bon;
101;10;38;4;8 S 1663;;;in-8;ERLANGER, Pierre;Richelieu (***);1970;;bon;
102;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome premier);1885;;bon;
103;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome deuxième);1885;;bon;
104;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome troisième);1886;;bon;
105;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome quatrième);1886;;bon;
106;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome cinquième);1889;;bon;
107;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome sixième);1892;;bon;
108;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (tome septième);1896;;bon;
109;10;38;4;8 S 1664;;;in-8;D'AUMALE;Histoire des Princes de Condé (index);1896;;bon;0,87 m 
110;10;38;4;8 S 1665;;;in-8;ROUSSET, Camille;Histoire du Louvois (tome premier);1862;;bon;
111;10;38;4;8 S 1665;;;in-8;ROUSSET, Camille;Histoire du Louvois (tome second);1862;;bon;
112;10;38;4;8 S 1665;;;in-8;ROUSSET, Camille;Histoire du Louvois (tome troisième);1863;;bon;
113;10;38;4;8 S 1665;;;in-8;ROUSSET, Camille;Histoire du Louvois (tome troisième);1863;;bon;
114;10;38;4;8 S 1666;;;in-8;DAUDET, Ernest;Le duc d'Aumale;1898;;bon;
115;10;38;4;8 S 1667;;;in-8;OBERDORFER, Aldo;Louis II de Bavière;1937;;bon;
116;10;38;4;8 S 1668;;;in-8;FUNCK-BRENTANO, Fr.;Légendes et archives de la Bastille;1935;;bon;
117;10;38;4;8 S 1669;;;in-8;GABORY, Emile;Les grandes heures de la Vendée;1961;;bon;
118;10;38;4;8 S 1670;;;in-8;BLIARD, Pierre;Les conventionnels régicides;1913;;bon;
119;10;38;4;8 S 1671;;;in-8;RAGON, Marcel;La législation sur les émigrés;1904;;moyen;
120;10;38;4;8 S 1672;;;in-8;DESPREAUX, Albert;Les gardes d'honneur d'Alsace et de Lorraine à l'époque du premier empire;1913;;bon;
121;10;38;4;8 S 1673;;;in-8;ALLMANG, Joseph;Les lieux-dits de Spicheren;1969;;bon;
122;10;38;4;8 S 1674;;;in-8;BARBE, Julien;A travers le vieux-Metz: les maisons historiques (première série);1913;;bon;
123;10;38;4;8 S 1674;;;in-8;BARBE, Julien;A travers le vieux-Metz: les maisons historiques (deuxième série);1937;;bon;
124;10;38;4;8 S 1675;;;in-8;DE MOUSSON, Jean;Ancy au val de Metz;1974;;bon;
125;10;38;4;8 S 1676;;;in-8;STILLER, Gabriel et ANCEL, Gervais;Thionville et sa rivière: la Moselle;s.d.;;bon;
126;10;38;4;8 S 1677;;;in-8;ROHR, Joseph;L'arrondissement de Sarreguemines;1966;;bon;
127;10;38;4;8 S 1678;;;in-8;SUTTER, Antoine;La vie dans le canton de Pange;1974;;bon;
128;10;38;4;8 S 1679;;;in-8;HAEFELI, Albert;Les croix du pays Messin;s.d.;;bon;
129;10;38;4;8 S 1680;;;in-8;HAEFELI, Albert;Les fermes-chateaux du pays Messin;s.d.;;bon;
130;10;38;4;8 S 1681;;;in-8;CATHERINE, Gilbert;Petite histoire de Woippy;1972;;bon;
131;10;38;4;8 S 1682;;;in-8;BARTHELEMY, J.;Aux sources de la Seille et de la Sarre;1973;;bon;
132;10;38;4;8 S 1683;;;in-8;JEANMAIRE, André;La grand-Rue d'outre-Seille: Rue Mazelle;1972;;bon;
133;10;38;4;8 S 1684;;;in-8;JEANMAIRE, André;Le champ-a-Seille;1971;;bon;
134;10;38;4;8 S 1685;;;in-8;JEANMAIRE, André;Le quartier saint-Eucaire;1974;;bon;
135;10;38;4;8 S 1686;;;in-8;JEANMAIRE, André;De saint-Louis à saint-Jacques;1973;;bon;
136;10;38;4;8 S 1687;;;in-8;JEANMAIRE, André;Autour de Saint-Arnould;1975;;bon;
137;10;38;4;8 S 1688;;;in-8;JEANMAIRE, André;Les lauriers sont coupés;1972;;bon;
138;10;38;4;8 S 1689;;;in-8;JEANMAIRE, André;De saint-Martin à saint-Thiebault;1978;;bon;
139;10;38;4;8 S 1690;;;in-8;RICHEZ, Charles;Bar-le-Duc;1971;;bon;
140;10;38;4;8 S 1691;;;in-8;LAURENT, A.;Epinal;1971;;bon;
141;10;38;4;8 S 1692;;;in-8;GAUGE, Aimé;Mirecourt;1971;;bon;
142;10;38;4;8 S 1693;;;in-8;DURLEWANGER, A.;Voyage à travers la Lorraine;1971;;bon;
143;10;38;4;8 S 1694;;;in-8;TRIBOUT DE MOREMBERT, H.;Les hommes célèbres de Lorraine;1975;;bon;
144;10;38;4;8 S 1695;;;in-8;DURLEWANGER, A.;Les chateaux de Lorraine;1973;;bon;
145;10;38;4;8 S 1696;;;in-8;TRIBOUT DE MOREMBERT, H.;Les églises de Lorraine;1973;;bon;
146;10;38;4;8 S 1697;;;in-8;TRIBOUT DE MOREMBERT, H.;Villes et villages de Lorraine;1974;;bon;
147;10;38;4;8 S 1698;;;;Anonyme;Pas de titre;s.d.;;;[sorti]
148;10;38;5;8 S 1699;;;in-8;LORRAIN, Michelle;Fleurs de Lorraine;1974;;bon;
149;10;38;5;8 S 1700;;;in-8;VOIRIN,Guy;Lacs forêts et rivières de Lorraine;1974;;bon;
150;10;38;5;8 S 1701;;;in-8;Collectif ;Animaux de Lorraine;1974;;bon;0,82 m 
151;10;38;5;8 S 1702;;;in-8;Michel, A.;Chaumoussey à travers les ages;1940;;moyen;
152;10;38;5;8 S 1703;;;in-8;Michel, A.;Histoire religieuse de la paroisse de Mirecourt;1946;;bon;
153;10;38;5;8 S 1704;;;in-8;GEORGEL, Marc;Les lieux dits du canton de Gerardmer;1958;;bon;
154;10;38;5;8 S 1705;;;in-8;GEORGEL, Marc;Les noms des lieux-dits de l'arrondissement de Remiremont ;1966;;bon;
155;10;38;5;8 S 1706;;;in-8;GEORGEL, Marc;Les appellatifs dans les cadastres de l'arrondissement de Saint-Dié;1958;;bon;
156;10;38;5;8 S 1708;;;in-8;MATHIEU, Abel;Histoire du Saint-Mont;1971;;bon;
157;10;38;5;8 S 1709;;;in-8;SADOUL, Louis;Une petite ville Vosgienne: Roan-L'étape;1934;;bon;
158;10;38;5;8 S 1710;;;in-8;DUSSAUX, C.;Vie mystique au pays Vosgien;1950;;bon;
159;10;38;5;8 S 1711;;;in-8;LALEVEE, Victor;Histoire de Fraize et de la haute-vallée de la Meurthe;1957;;bon;
160;10;38;5;8 S 1712;;;in-8;LALEVEE, Victor;Au pays des marcaires;s.d.;;bon;
161;10;38;5;8 S 1713;;;in-8;OLIVIER, C. ;Fontenoy-le-Château;1894;;moyen;
162;10;38;5;8 S 1714;;;in-8;Collectif ;Au pays des lacs (tome I);1960;;bon;
163;10;38;5;8 S 1715;;;in-8;CONDAMINE, Pierre de la;"Au temps des ducs de Lorraine; une principauté de contes de fées, Salm en Vosges";1965;;bon;
164;10;38;5;8 S 1715;;;in-8;CONDAMINE, Pierre de la;Une principauté de contes de fées, Salm en Vosges;1974;;bon;
165;10;38;5;8 S 1716;;;in-8;LERICHE, Alcide;En parcourant l'Argonne;1973;;bon;
166;10;38;5;8 S 1717;;;in-8;LERICHE, Alcide;Argonne terre étrange;1974;;bon;
167;10;38;5;8 S 1718;;;in-8;LERICHE, Alcide;Chevauchées en pays d'Argonne;1975;;bon;
168;10;38;5;8 S 1719;;;in-8;AIMONT, Ch.;Histoire de la ville de Dun-sur-Meuse;1961;;bon;
169;10;38;5;8 S 1720;;;in-8;Anonyme;Histoire de l'ermitage et du pèlerinage de Saint-Rouin;1956;;bon;
170;10;38;5;8 S 1721;;;in-8;AIMONT, Ch.;La collégiale Saint-Pierre;1964;;bon;
171;10;38;5;8 S 1722;;;in-8;DE CHARDON, Lucien;Damvilliers et son canton;1973;;bon;
172;10;38;5;8 S 1723;;;in-8;JOIGNON, Camille-Paul;Rembercourt-aux-bois;1938;;bon;
173;10;38;5;8 S 1724;;;in-8;WADIER, Roger;Le bréviaire fantastique;1977;;bon;
174;10;38;5;8 S 1725;;;in-8;JEANMAIRE, André;Petits contes des sampagnes Lorraines (troisième série);1976;BIS;bon;
175;10;38;5;8 S 1725;;;in-8;JEANMAIRE, André;Petits contes des sampagnes Lorraines (deuxème série);1976;;bon;
176;10;38;5;8 S 1726;;;in-8;HACHET, Michel;En marge de l'histoire de Toul;1975;;bon;
177;10;38;5;8 S 1727;;;in-8;DEMANGE, abbé;Un pèlerinage en l'honneur de Notre-Dame de Lourdes;1885;;bon;
178;10;38;5;8 S 1728;;;in-8;FLORANGE, Julien et LOEVENBRUCK, Pierre;Notre cher Pont-a-Mousson;1956;;bon;
179;10;38;5;8 S 1729;;;in-8;POUPART, Robert;A travers l'histoire de Rambervilliers;1939;;bon;
180;10;38;5;8 S 1730;;;in-8;COLSON, Jean;"Sion Vaudémont ou ""la colline inspirée""";1978;;bon;
181;10;38;5;8 S 1731;;;in-8;BICHAT, Jean;La vie et la santé dans une cité Lorraine à travers les siècles: Lunéville;1937;;bon;
182;10;38;5;8 S 1732;;;in-8;LAURENT, Marcel;Lunéville pendant la deuxième guerre mondiale;s.d.;;bon;
183;10;38;5;8 S 1733;;;in-8;MAIRE, Pierre;Lunéville pendant la grande guerre;1925;;bon;
184;10;38;5;8 S 1734;;;in-8;HUMBERT, Léon;Causeries sur l'huistoire de Dombasle;1966;;bon;
185;10;38;5;8 S 1735;;;in-8;GLATH, Paul E.;Un village Lorrain: Boussevillier;1948;;bon;
186;10;38;5;8 S 1736;;;in-8;PAUL-NOËL;Thionville, cité méconnue;1958;;bon;
187;10;38;5;8 S 1737;;;in-8;LAVALLEE-BECQ, Alice;Briey à travers les siècles;1937;;bon;
188;10;38;5;8 S 1738;;;in-8;anonyme;Deux siècles de metallurgie du fer;1927;;bon;
189;10;38;5;8 S 1739;;;in-8;MUSSEY, Jean;Histoire de Longwy et de la famille bourgeoise de Mussey;1898;;bon;
190;10;38;5;8 S 1740;;;in-8;DAVILLE, L.;Historiographie Barrisienne;s.d.;;bon;
191;10;38;5;8 S 1741;;;in-8;EICHLER, Hans;Trier;1952;;bon;
192;10;38;5;8 S 1742;;;in-8;HERRMABB, Hans-Walter et KLEIN, Hanns;Festschrift;1971;;bon;
193;10;38;5;8 S 1743;;;in-8;EVEN, Josef et SCHMIDT, Elmar;Schmeizer chronik;1977;;bon;
194;10;38;5;8 S 1744;;;in-8;EVEN, Josef;Sieben Schaumburger Steuer- und Abgabenlisten;1975;;bon;0,88 m 
195;10;38;5;8 S 1745;;;in-8;LIBLIN, J.;Belfort et son territoire;1977;;bon;
196;10;38;5;8 S 1746;;;in-8;VOGT, Armand Paul;Le théâtre à Nancy;1921;;bon;
197;10;38;5;8 S 1747;;;in-8;HIRTZ, Caroline;L'Est Republicain;1973;;bon;
198;10;38;5;8 S 1748;;;in-8;CUNY, Jean-Marie;Promenades en vieille ville de Nancy;s.d.;;bon;
199;10;38;5;8 S 1749;;;in-8;BLANC;Monographie de l'Ecole de Nancy;1872;;bon;
200;10;38;5;8 S 1750;;;in-8;WANG, Agnès;L'enseignement de la médecine à Nancy;1971;;bon;
201;10;38;5;8 S 1751;;;in-8;GUISE, P. ;Histoire de l'instituition de laMalgrange;1936;;bon;
202;10;38;5;8 S 1752;;;in-8;Collectif ;Le livre des centenaires: 150e anniversaire de la fondation du lycée Henri Poincaré;[1954];;bon;
203;10;38;5;8 S 1753;;;;Anonyme;L'armée à Nancy 1633-1966;1967;;;(sorti) 
204;10;38;5;8 S 1754;;;in-12;CUNY, Jean-Marie;Nancy et ses environs;1977;;bon;
205;10;38;5;8 S 1755;;;in-8;GARÇOT, Maurice;Nancy la ducale;1966;;bon;
206;10;38;5;8 S 1756;;;in-8;Anonyme;Les hospices civils de nancy pendant la guerre;1926;;bon;
207;10;38;5;8 S 1757;;;in-8;SALMON, Jean;Au pays des cloches: de Choiseul à la Mothe;s.d.;;bon;
208;10;38;6;8 S 1758;;;in-8;GYBAL, André;L'auvergne, berçeau de l'art Roman;1957;;bon;
209;10;38;6;8 S 1759;;;in-8;Collectif ;Mémoires de la société livre d'émulation de Liège (tome VIII);1889;;bon;
210;10;38;6;8 S 1760;;;in-8;Henry, Françoise;L'art irlandais (*);1958;10;bon;
211;10;38;6;8 S 1760;;;in-8;Henry, Françoise;L'art irlandais (**);1964;10;bon;
212;10;38;6;8 S 1760;;;in-8;HAUG, Hans et WILL, Robert;Alsace Romane;1955;4;bon;
213;10;38;6;8 S 1760;;;in-8;Collectif ;Bourgogne Romane;1958;5;bon;
214;10;38;6;8 S 1760;;;in-8;BEIGBEDER, Olivier;Forez-Veley Roman;1958;7;bon;
215;10;38;6;8 S 1760;;;in-8;FABRE, Gabrielle et VARAGNAC, André;L'art Gaulois;1958;8;bon;
216;10;38;6;8 S 1760;;;in-8;DURLIAT, Marcel;Roussillon Roman;1958;1;bon;
217;10;38;6;8 S 1760;;;in-8;SERET, Jean;Perigord Roman;1958;2;bon;
218;10;38;6;8 S 1760;;;in-8;CRAPLET, Bernard;Auvergne Romane;1955;3;bon;
219;10;38;6;8 S 1760;;;in-8;CROZET, René et LALLANDE-MAILFERT, Yvonne;Poitou Roman;1957;6;bon;
220;10;38;6;8 S 1760;;;in-8;Collectif ;Suisse Romane;1958;9;bon;
221;10;38;6;8 S 1760;;;in-8;Henry, Françoise;L'art irlandais (*);1958;10;bon;
222;10;38;6;8 S 1760;;;in-8;Henry, Françoise;L'art irlandais (**);1964;10;bon;
223;10;38;6;8 S 1760;;;in-8;Collectif ;Champagne Romane;1981;11;bon;
224;10;38;6;8 S 1761;;;in-8;Colloque;Les constructions civiles d'interêt public dans les villes d'Europe au Moyen Age et sous l'ancien régime et leur financement;1971;;bon;
225;10;38;6;8 S 1762;;;in-8;VIOLLET-LE-DUC;Histoire d'une maison ;s.d.;;bon;
226;10;38;6;8 S 1763;;;in-8;BOURASSE, J.-J.;Les plus belles cathédrales de France;1882;;bon;
227;10;38;6;8 S 1764;;;in-8;SEGUIN, Pierre;Le jeu de carte;1968;;bon;
228;10;38;6;8 S 1765;;;in-8;GALBREATH, D. L.;Manuel du blason;1942;;bon;
229;10;38;6;8 S 1766;;;in-8;MATHIEU, Rémi;Le système héraldique Français;1946;;bon;
230;10;38;6;8 S 1767;;;in-8;BOUDRIOT, J. et MARQUISET, R.;Armes à feu règlementaires;1967;;mauvais;
231;10;38;6;8 S 1767;;;in-8;BOUDRIOT, J. et MARQUISET, R.;Armes à feu règlementaires;1967;;mauvais;
232;10;38;6;8 S 1767;;;in-8;BOUDRIOT, J. et MARQUISET, R.;Armes à feu règlementaires;1967;;mauvais;
233;10;38;6;8 S 1768;;;in-8;MORIN-JEAN;La verrerie en Gaulle sous l'empire Romain;1913;;mauvais;
234;10;38;6;8 S 1769;;;in-8;LESTOCQUOY, abbé;Les origines de la civilisation dans le Nord de la France;1943;;moyen;
235;10;38;6;8 S 1770;;;in-8;HATT, J.-J.;La tombe Gallo-Romaine;1951;;bon;
236;10;38;6;8 S 1771;;;in-8;TOUSSAINT, Maurice;Metz à l'époque Gallo-Romaine;1948;;bon;
237;10;38;6;8 S 1772;;;in-8;DE SCHAETZN, Phillipe et VANDERHOEVEN, Michel;La terra sigillata a Tongres;1955;;bon;
238;10;38;6;8 S 1773;;;in-8;TRENTSEAU, Berthie;La damasquerie mérovingienne en Belgique;1966;;bon;
239;10;38;6;8 S 1774;;;in-8;REINACH, Salomon;Antiquités Nationales;s.d.;;bon;
240;10;38;6;8 S 1775;;;in-8;BOUCHE-LECLERCQ, A.;Manuel des institutions Romaines;1931;;bon;
241;10;38;6;8 S 1776;;;in-8;ISING, Clasina;Roman Glass;1957;;bon;
242;10;38;6;8 S 1777;;;in-8;DEMEULDRE-COCHE, H.;Christophe Windisch;1976;;bon;
243;10;38;6;8 S 1778;;;in-4;GRAESSZ, J. G. Th. et JAENNICKE, E.;Führer für Sammler von Porzellan und Fayence;s.d.;;bon;
244;10;38;6;8 S 1778;;;in-4;GRAESSZ, J. G. Th. et JAENNICKE, E.;Führer für Sammler von Porzellan und Fayence;1922;BIS;bon;
245;10;38;6;8 S 1779;;;in-4;BROSSARD, Yvonne et ROYER, Michel;Faïences et porcelaines de l'est: Argonne, Waly-Lavoye;1976;1;bon;
246;10;38;6;8 S 1779;;;in-4;BROSSARD, Yvonne ;Faïences et porcelaines de l'est: Les Islettes;1975;2;bon;
