id,id_texte,commentaires
11,11,11. « Abrégé du polium géographique et chorographique ... de Lorraine et de Bar ... par Bugnon. »/XIXe siècle. Papier. 505 feuillets écrits au verso seulement. 340 sur 220 millim. D. rel. basane.
12,12,12. « L'Alphabet des duchez de Lorraine et de Bar. Tiré des premiers mémoires géographiques du s. Bugnon ... 1709. »/XVIIIe siècle. Papier. 57 feuillets. 160 sur 102 millim. - Fol. 2. Carte de Lorraine. Rel. veau.
13,13,13. Recueil d'extraits des manuscrits de Bugnon./1. « Polium de Lorraine et Barrois ... 1703. » - Page 136. « Carte générale de la Lorraine » (gravée). -- 281 pages./2. « Mémoires géographiques et historiques sur les Etats des duchés de Lorraine et Barrois. ». - 151 pages.XVIIIe siècle. Papier. 156 sur 98 millim. Rel. veau. --- (F.-J. Perrin de Brichambeau.)
14,14,"14. « Polium du bailliage de Nancy. » Au-dessous de ce titre : « Destiné à l'usage de Messire George de Lambertye ... à Nancy, 1704, par Bugnon. »/XVIIIe siècle. Papier. 49 feuillets. 166 sur 106 millim. Sur le titre, les armes de Lambertye. Cartes : fol. B, bailliage de Nancy; fol. 20, prévôté de Preny. Rel. veau."
15,15,"15. « Pouillé ecclésiastique et civil du doyenné du Saintois soub l'archidiaconé de Vitel, diocèse de Toul. 1743. » Par N. Fremy./Fol. A. Dédicace.  Pages 9 et 25. Tableaux généalogiques. - Page 201. « Catalogue des évêques et comtes de Toul. » - Page 310. Table des prieurés, chapitres ...»  Cf. Annuaire historique pour l'année 1859, publié par la Société de l'Histoire de France, p. 95, n° 13./XVIIIe siècle. Papier. 4 feuillets et 328 pages. 271 sur 105 millim. Sur le feuillet de garde, une carte du comté de Vaudémont. Rel. veau.  (Catalogue Noël, 3314.)"
16,16,"16. Le département de la Meurthe en 1789. /Extrait du procès-verbal de l'Assemblée nationale établissant les divisions administratives du département de la Meurthe en 9 districts, 74 cantons et 786 paroisses. 30 décembre 1789./XVIIIe siècle. Papier. ll feuillets, 210 sur 175 millim. Carte du département. Cartonné."
17,17,"17. « Table alphabétique des communes du diocèse de Nancy. Etat comprenant les cures, succursales et annexes du diocèse de Nancy avec le nom des curés et succursalistes. Meurthe, Vosges, Meuse. »/XVIIIe siècle. Papier. 49 feuillets et 82 pages. 334 sur 215 millim. Cartonné."
18,18,"18. « Département de la Meurthe par ordre alphabétique. 1790. »/XVIIIe siècle. Papier. 48 feuillets. 117 sur 83 millim. Carte du département, par Poirson. Ex libris de S. Mollevaut. Rel. veau."
19,19,"19. « Recherches sur l'ancienne population des villages du département de la Meurthe », par M. Merle, 1864./Ces recherches comprennent six époques : 1° de 1550 à 1630; 2° de 1630 à 1698; 3o de 1698 à 1737; 4° de 1737 à 1790 ; 5° de 1790 à 1802; 6o en 1851./XIXe siècle. Papier. 42 feuillets. 345 sur 218 millim. Cartonné. - (Maggiolo.)"
20,20,"20. « Descriptions particulières des duché de Lorraine, comtés et seigneuries en dépendantes, et notamment du comté de Bitche, par Thierry Alix ... »/Fol. B. Table.  Page 1. Dédicace.  Page 9. « De l'antiquité du duché ». - Page 196. Discours sur le comté de Bitche.  Page 248. «Table alphabétique des villes ... »/XVIIe siècle. Papier. 269 pages. 300 sur 200 millim. Rel. veau. - (Du Port-Guichard en 1608. -- Abram en 1722.)"
21,21,"21-23. « Livre des plans des chaussées de Lorraine et de Bar .. que le sieur Broutin ... a levés dans le cours de ses visites pour leur entretien. »/Au-dessous du titre : « Fait et réduit de grand en petit à Saint-Dié ce 31 mai 1737. »/21. Chaussées de Nancy à Metz, à Sarrelouis, à Francfort et à Strasbourg ; de Lunéville à Saint-Avold et à Schelestadt."
22,22,"21-23. « Livre des plans des chaussées de Lorraine et de Bar .. que le sieur Broutin ... a levés dans le cours de ses visites pour leur entretien. »/Au-dessous du titre : « Fait et réduit de grand en petit à Saint-Dié ce 31 mai 1737. »/22. Chaussées de Nancy en Haulte-Alsace, en Bourgogne et à Neufchâteau."
23,23,"21-23. « Livre des plans des chaussées de Lorraine et de Bar .. que le sieur Broutin ... a levés dans le cours de ses visites pour leur entretien. »/Au-dessous du titre : « Fait et réduit de grand en petit à Saint-Dié ce 31 mai 1737. »/23. Chaussées de Nancy à Bar, à Saint-Dizier, à Verdun, à Saint-Mihiel ; de Pont-à-Mousson à Commercy et de Metz à Etain et à Longuyon. Cf. Noël, Catalogue des collections lorraines, n° 3424./XVIIIe siècle. Papier. 21, 18 et 17 plans de dimensions diverses, dans une reliure de 290 sur 235 millim. Veau."
24,24,"24. « Etat par ordre alphabétique des villes, bourgs et villages de la province d'Alsace, avec les bailliages dont ils dépendent. »/XVIIIe siècle. Papier. 51 feuillets. 187 sur 112 millim. Rel. basane."
25,25,"25. «Voyage de Sainte-Odile », par M. de Gironcourt./Fol. 1. « Le 22 juin 1757, je suis parti d'Epinal... »  Fol. 25 vo. « Rédigé le 18 juillet 1757. De Gironcourt. /XVIIIe siècle. Papier. 23 feuillets. 355 sur 185 millim. Cartonné."
26,26,"26. La Chronique de Lorraine, d'après la copie A, avec des variantes des cinq copies B. C. D. E et F., par M. Marchal. 1859-1860./Cf. La Chronique de Lorraine dans le Recueil de documents sur l'histoire de Lorraine, Nancy, 1859./XIX° siècle. Papier. 193 feuillets, 347 sur 220 millim. Cartonné."
27,27,"27. « Histoire des ducs de Lorraine depuis Charles I jusqu'à René II inclusivement. »/Ce titre, de la main du P. Hugo, se trouve en tête d'une copie de la Chronique de Lorraine, connue aussi sous le nom de : Les opérations des feus ducs de Lorraine. Les deux premiers paragraphes manquent. - Fol. 1. « Or disons de Charles qui estoit ...»  Fol. 147. « L'an 1513, le douzième jour de février ... » La fin manque également.  Publié par l'abbé Marchal dans le Recueil de documents sur l'histoire de Lorraine (t. V), Nancy, 1859, où il désigne cette copie par la lettre B ; et par Dom Calmet, Histoire de Lorraine, 2e édit., t. VII, preuves, p. 1./XVIIe siècle. Papier. 147 feuillets. 310 sur 210 millim. Cartonné."
28,28,"28. « Les opérations des feus ducs de Lorraine, commençant au duc Jean ... »/Fol. 1. « Or disons du duc Jean. Il vacquoit souvent en France ... » 1346.  Fol. 89. « L'an 1564. L'hiver a été si grand ... » Copie faite pour l'usage de Dom Calmet ; jugée la plus complète par l'abbé Marchal, qui la désigne par la lettre D, dans l'édition qu'il en a faite en 1859,/XVIIIe siècle. Papier. 89 feuillets. 328 sur 222 millim. Rel. veau.  (Beaupré.)"
29,29,"29. « Les opérations des feus ducs de Lorraine, commençant au duc Jehan fils au duc Raoul ... »/Copie de l'abbé Marchal./XIXe siècle. Papier. 161 feuillets. 284 sur 200 millim. Cartonné."
30,30,"30. Questions relatives à l'origine de la maison de Lorraine./Fol. 1, « Question première. Si Conrad duc de Franconie ... estoit de la race masculine de Charlemagne. » - Fol. 8. « Question seconde. Si Godefroy de Bouillon ... eut un frère nommé Guillaume, dont la maison de Lorraine soit issue. » -- Fol. 20. « Question troisième. Si les ducs de Lorraine sont issus de la maison d'Alsace. /XVIIe siècle. Papier. 42 feuillets. 205 sur 155 millim. Cartonné."
31,31,"31. « Système de la généalogie de la maison royale de Lorraine de père en fils, depuis le grand roy Pharamond fondateur de la monarchie des Gaules sa première tige, jusqu'à Son A. R. Léopold I. »/Fol. 22, v°. « Division de l'ancienne Lorraine en quatre Etats différents, »/XVIIIe siècle. Papier. 30 feuillets. 204 sur 158 millim. Rel. parchemin. -- (Du Pont de Romémont. - Catalogue Noël, 1997.)"
32,32,"32. « La généalogie des ducs de la très illustre maison de Lorraine; avec les preuves ... que les princes qui règnent aujourd'huy descendent de Gérard d'Alsace. »/Fol. 46 vo. « Les titres de l'Eglise de Saint-Dié ... » Publié dans le Recueil de documents sur l'histoire de Lorraine (t. I), Nancy, 1855.  Fol. 56. « Discours du comté et des comtes de Vaudémont. » -- Fol. 63. « Mémoires contre la prétendue mouvance du duché de Bar. » -- Fol. 71. Sur les armoiries des ducs de Lorraine./XVIIe siècle. Papier. 76 feuillets. 267 sur 165 millim. Cart. --- (Justin Lamoureux.)"
33,33,"33. « Généalogie de la très ancienne ... maison de Lorraine, par laquelle est justifié que la Lorraine n'est pas un fief d'Empire. »/Cette généalogie, sans nom d'auteur, a été écrite sous le règne de Charles IV. -- Fol. 14. « Il dit aussi que Charles IV (à présent régnant) ... »/XVIIe siècle. Papier. 46 feuillets. 200 sur 150 millim. Rel. velours vert. - (Du Pont de Romémont. - Beaupré.)"
34,34,"34. « Recueil sommaire de l'origine, ancienneté, grandeur, noblesse et alliance de la très illustre maison de Lorraine. »/Fol. 2. « Les roys des François orientaux ... » - Fol. 11. Clodomir.  Fol. 90. Thiébaud I. - Fol. 92. Charles III. La série des ducs qui ont régné entre ces deux derniers manque. -- Fol. 106. Copie du même ouvrage, sans lacune. - Fol. 125. Le règne de Henri II, mort en 1624./XVIIIe siècle. Papier. 125 feuillets. 308 sur 209 millim. Dessins coloriés et lettres grises au commencement de chaque règne, dans la première copie. Cartonné."
35,35,"35. «Histoire des ducs de la maison de Lorraine, par M. de Gironcourt. 1772. »/Fol. 9. « Dans les premiers jours de septembre 1772 j'ay communiqué cet ouvrage à M. le comte de Rouvrois ... » -- Fol. 10. « Discours préliminaire. »  Fol. 41. Histoire de Lorraine.  Fol. 222. Nouvelle copie du « Discours préliminaire »./XVIII° siècle. Papier. 279 feuillets. 260 sur 185 millim. Passim des notes de la main de l'abbé Marchal. -- (Catalogue Noël, 404.)"
36,36,"36. « Cronologie sommaire des ducs de Lorraine et de Bar, contenante leurs noms, nombre, ordre, commencement et durée de leurs règnes, » par Duplessis. -- « Quels avantages les ducs de Lorraine ont retirés de leurs alliances », par le même./XVIIe siècle. Papier. 18 et 10 pages. 195 sur 153 millim. Cartonné."
37,37,"37. Recueil de mémoires relatifs à l'histoire de Lorraine, composé par le P. Hugo. 1. Page 1. « Histoire de René I, duc de Lorraine et de Bar. »  2. Page 73. « Histoire de Jean d'Anjou duc de Lorraine et de Calabre. » -- 3. Page 115. « Histoire de Nicolas d'Anjou duc de Lorraine. » -- 4. Page 137. « Histoire de René II duc de Lorraine et de Bar. »  5. Page 342. Philippe de Gueldres. - Cf. Dom Calmet, Bibliothèque lorraine, col. 515./XVIIIe siècle. Papier. 360 pages: 327 sur 217 millim. Cart."
38,38,"38. « Preuve de la masculinité du fiel pour les duchés de Lorraine et de Bar » attribué à Michel Thévenin./Ce titre est de la main de M. Marchal. - Page 1. « Puisque l'Estat où se trouvent ... »/XVIIe siècle. Papier. 62 pages. 250 sur 180 millim. Relié à la suite du même ouvrage imprimé, vers 1625, sans titre, sans nom d'auteur ni d'imprimeur et sans date.  Cf. Beaupré. Nouvelles recherches de bibliographie lorraine, 1600-1635, p. 83. Cartonné."
39,39,39. « Abrégé de l'histoire de Lorraine suivant Dom Calmet qui l'a fait imprimer en 1734. »/Fol. 6 vo. Premier duc « Gérard d'Alsace. » -- Fol. 47 vo. Vingt cinquième duc « François III. » - Fol. 48. « Histoire de la mouvance du Barrois. »/XVIIIe siècle. Papier 50 feuillets. 172 sur 110 millim. Cartonné.
40,40,"40. Abrégé de l'histoire de Lorraine par Dom Calmet./Fol. 2. Préface.  Fol. 6. « Dissertation historique... sur la suite de médailles de la maison de Lorraine. » On y trouve alternativement le texte de lAbrégé de l'histoire de Lorraine, imprimé à Nancy en 1734 et de la Suite des portraits des ducs et duchesses, imprimé à Vienne en 1736 et à Florence en 1762.  Fol. 76. « Histoire du duc Léopold I de Lorraine. » Extrait du t. VII de l'Histoire de Lorraine par Dom Calmet, col. 190-294.  Fol. 114. « Suite généalogique des ducs de Lorraine. »  Fol. 122. « Liste des saints et bienheureux ... de la maison de Lorraine. »/Dans ce recueil se trouve une suite des Ducs et Duchesses de Lorraine, gravée daprès les médailles de Saint Urbain (jignore sa destination) ne layant jamais rencontré, mieux gravé que la suite qui se trouve dans lhistoire de Lorraine de Dom Calmet en 7 volumes, le nom du graveur peut se lire Peter Meyer, delineav. et sculp. 1753./XVIIIe siècle. Papier. 125 feuillets. 370 sur 230 millim.. Passim, gravures des médailles de Saint-Urbain et armoiries dessinées à la plume. Rel. veau. - (M. Klepper, bénédictin.  Nicolas en 1759. ---- Du Pont de Romémont.)"
41,41,"41. « Abrégé de l'histoire de Lorraine, avec quelques remarques et réflexions sur quelques points particuliers. »/Fol. 1. « Il n'est pas besoin, pour sçavoir au vray ... Royaume d'Austrasie. »  Fol. 37. Charles V.  Fol. 40 v°, Tableaux généalogiques. - Fol. 42 v° « Les armoiries de la sérénissime Maison de Lorraine, ) --- Fol. 47. « Réponse de l'autheur de l'Abrégé de l'histoire de Lorraine, à un de ses bons amis qui a pris la peine de le lire ... » De la même main que le n° 202./XVIIIe siècle. Papier. 53 feuillets. 340 sur 205 millim. Cartonné."
42,42,"42. « La Lorraine jadis et aujourd'hui » par M. A. de Metz-Noblat./Publié dans le Correspondant du 25 février 1863. Copie avec notes marginales de M. Marchal./XIXe siècle. Papier. 21 feuillets, 340 sur 215 millim. Cart."
43,43,43. Histoire de Lorraine /1. Essai d'histoire de Lorraine par le P. Hugo. - 20 pages. 335 sur 210 millim./2. Histoire de Lorraine. Livre premier. Par Aug. Digot. (L'auteur a changé de plan pour son histoire imprimée.)  83 pages. 366 sur 235 millim./XVIIIe et XIXe siècles. Papier cartonné.
44,44,"44. « Actes de cession et de prise de possession » des duchés de Lorraine et de Bar./Recueil renfermant 2 pièces imprimées et 5 manuscrites qui sont : Fol. 5. « Plein-pouvoir du roi donné le 13 janvier 1737, pour faire recevoir en son nom le serment de fidélité éventuelle des sujets des duchés de Bar et de Lorraine, » - Fol. 6. « Acte de prestation de serment de fidélité des Baillis ... au roi de Pologne. » - Fol. 8 v°. « Acte de prestation de serment de fidélité des Baillis ... au roi. » -- Fol. 22. « Edit du roi de Pologne portant que les sujets du royaume de France seront admis à posséder offices et bénéfices en Lorraine. »  Fol. 24. « Edit du roi portant que tous les sujets du roi de Pologne, dans les Etats de Lorraine, seront réputés naturels français. »/XVIIIe siècle. Papier. 27 feuillets. 192 sur 145 millim. Cartonné."
45,45,"45. « Mémoire pour l'histoire de Lorraine. » Attribué à Thierry (Rodolphe)./Fol. 1 vo. « De la Lorraine. » -- Fol. 34. « Histoire des comtes de Vaudémont. »  Fol. 38. « Histoire des princes de la maison de Guise. » - Fol. 40 vo. « Histoire du duché de Bar. ) - Fol. 45 vo, « De l'indépendance du duché de Bar. » -- Fol. 49. « Histoire du duché de Luxembourg. )  Fol. 44. « Traité des alliances de la maison de Lorraine. » - Fol. 59. « Généalogie succincte ... de la maison d'Autriche. » -- Fol. 62. « Discours des prétentions des ducs de Lorraine sur divers Etats. »/XVIIe siècle. Papier. 170 feuillets. 230 sur 172 millim. Cart."
46,46,"46. Recueil de pièces, imprimées et manuscrites, relatives aux sépultures des ducs de Lorraine./Parmi les pièces manuscrites, les principales sont :/Fol. 33. « Du lieu de la véritable sépulture de la duchesse de Lorraine Isabelle d'Autriche. » --- Fol. 72. « Procès-verbal de l'enquête relative à la découverte des ossements des princes de Loraine déposés au cimetière de Boudonville en 1793. » 1817. Attribué à M. Brion. - «Recueil des épitaphes des princes et princesses de Lorraine inhumés dans l'abbaye de Beaupré. » -- Fol. 107. « Extraits du Nécrologe des pères Cordeliers de Nancy. » -- Fol. 171. « Reconnaissance des corps trouvés à Saint-Georges et transportés au caveau ducal des pères Cordeliers, 1743 », par Mory d'Elvange. -- Fol. 181. « Extrait de la description faite de la Chapelle ronde par les commissaires impériaux lorsqu'ils l'ont mise à la charge des pères Cordeliers, 1757 », par le même. ---- Fol. 192. « Relation de la cérémonie faite le 25 mars 1772, pour le transport des corps de quelques princes de Lorraine chez les pères Cordeliers », par le même.  Fol. 206. « Notes historiques sur l'état ancien et présent de la Chapelle ducale ..,» parle même.  Fol. 230. « Dépôt du coeur du duc Charles, 1780. »  Fol. 234. « Monuments funèbres de quelques princes et princesses de la maison de Lorraine, 1772. » - Fol. 249. « Notice historique des anciens monuments funèbres des ducs de Lorraine ... lue à l'Académie de Nancy, 1791 », par le même.  Fol. 280. « Projet pour l'exécution de la pompe funèbre de feu S. A. R. Léopold I. » 1729./XVIIe et XVIIIe siècles. Papier. 286 feuillets de dimensions diverses, dans un cartonnage de 396 sur 257 millim. Plans, dessins et gravures."
47,47,"47. « Cérémonial pour le transport et convoi funèbre des cours et corps des princes de la maison de Lorraine, de l'église Saint-Nicolas de Nancy, en celle des Pères Cordeliers de la même ville. Mars 1772. »/XVIIIe siècle. Papier. 5 feuillets. 210 sur 170 mlllim. Broché."
48,48,"48. Recherches sur la prison de Ferry III, pour faire suite à La maison des Armoises, publiée en 1877, r.ar H. Vincent/XIXe siècle. Papier. 21 feuillets. 280 sur 220 millim. Broché."
49,49,"49. « Petri de Blarrorivo Parhisiensis, poete prestantissimi, Nanceidos » libri VI./Fol. A vo. « Joannis Basini Sandacurii ... epistola. » --- Fol. 1. « J. Basini ... in magnificas hystorie Nanceidos laudes. » -- Fol. 2 vo. « Desiderii Boussardi Novavillacensis ... responsalis epistola. » - Fol. 4. « Autoris endecasillabum ... »  Fol. 5 « Autoris in sue Nanceidos hystoriam epithoma. » -- Fol. 7 vo. « Autoris distichon ...»  Fol. 8 vo. Le titre «... liber primus. » - Fol. 138. « Nanceidos liber sextus et ultimus ... feliciter hic finem complectitur ...» -- Fol. 139. «J. Basini ... in sex Nanceidos libros argumenta. » --- Fol. 140 vo. Epigrammes, avec la signature : « Drap brulé », anagramme de P. de Blarru. -- Cf. Mémoires de la Société d'Archéologie lorraine, 1876, pp. 360-420./XVIe siècle. Les fol. 7 et 8 en parchemin, le reste en papier. 144 feuillets. 210 sur 128 millim. Nombreuses notes. Initiales d'or et de couleur. Miniatures : fol. 8 ro, la bataille de Nancy; - ibid. vo. Le duc de Lorraine. Rel. parchemin rouge gaufré, sur bois, avec fermoir.  (Ex libris Josephi Guillemin mercatoris S. Nicolai a Portu lothar. 1531. - De Nicéville. -- M. de Landres.)"
50,50,"50. « Libyre second de la Nanceiade » par P. de Blarru. Traduction en vers français, anonyme. /Page 1. /« L'Helvétien peuple vaillant et fort/A défier aux batailles la mort ...»/Page 85. /« En oultre l'or défailloit, et sa teste/Sentoit desja l'hivernale tempeste. » /Au-dessous : « Fin du second livre de la Nancyade. » /XVIe siècle. Papier. 86 pages. 283 sur 190 millim. Dessins au lavis d'après les gravures du livre II du Liber Nanceidos imprimé en 1518 : Fol. A. « La ville de Moratte assiégée par Charle de Bourgongne. » - Page 10. « La bataille de Moratte. »  Page 26. « La cruelle deffaicte des Bourguignons. »  Page 42. « La ville de Nancy assiégée... »  Page 74. « L'entrée du duc René en sa ville de Nancy.» Rel. parchemin.(En marge de la pago 60: « Ce livre appartient à Mademoiselle de Mortal... »)"
51,51,"51. « Entrée de Charles IV, duc de Lorraine, à Saint-George et cérémonie d'icelle et de son serment. »/Fol. 1. «... Sachent tous que l'an ... 1626 ...» --- Fol. 4 vo. Signé «Virion, notaire. »/XVIIe siècle. Parch?min. 4 feuillets. 290 sur 240 millim. Broché."
52,52,"52. Mémoires de Forget, médecin de Charles IV, duc de Lorraine./Commencent vers 1630 et finissent en 1641. - Cf. Journal de la Société d'Archéologie lorraine, 1866, page 18./XVIIe siècle. Papier. 200 feuillets. 206 sur 170 millim. Rel. parchemin. - (Le P. Hugo.)"
53,53,53. Recueil de pièces relatives aux démêlés de Charles IV et de Nicole./1. Page 1. « Déclaration de Madame la duchesse de Lorraine. » Imprimée en janvier 1640. -- 2. Page 85. « Sentence définitive rendue à Rome en faveur de Madame la duchesse. ». Imp.  3. Page 95. « Reponse de Charles IV à la déclaration de Madame sa femme. » - 4. Page 98. « Narré véritable de ce qui s'est passé sur la fin du règne de Henri II ... touchant la succession en faveur de la ligne masculine ... » - 5. Page 103. « Réponse de Madame la duchesse au manifeste qui porte pour titre : Narré véritable ... »/XVIIe siècle. Papier. 134 pages. 235 sur 170 millim. Cart.
54,54,"54. Remontrance à Louis XIV, au sujet de l'occupation de Nancy et des duchés de Lorraine et de Bar, par ses troupes, en 1662./Fol. 5. « Quoique Votre Majesté fasse état d'une réserve sans exemple ... » - Fol. 25. « Changez, Sire, changez de sentiments ... »/XVIIe siècle. Papier. 25 feuillets. 218 sur 165 millim. Cartonné."
55,55,"55. Notes de M. Bourcier de Montureux, relatives aux négociations dont il fut chargé pour la Lorraine. Ms. autographe./Page 1. « Mémoire sur mon voyage de Vienne. » 1735. - Page 29. Traités de paix de 1713 à 1735. - Page 67. « Mémoire en forme de remontrances ... présenté à Vienne en 1736. »  Page 81. « Harangue de M. Bourcier à S. A. R. au sujet du bruit de la cession de la Lorraine. 1736. » En marge la note : « J'ay fait brûler cette pièce par la main du bourreau. »  Page 103. « Mémoire présenté à S. A. R. pour justifier ... qu'elle ne doit jamais consentir à la cession actuelle de la Lorraine. I mars 1736. » - Page 111. Mémoires divers sur le même sujet.  Page 222. « Réponse d'un autrichien aux réflexions d'un cosmopolite touchant la pragmatique. w - Page 244. « Mémoire pour justifier que les Etats de Lorraine et de Bar sont toujours tombés en quenouille. » - Page 250. « Lettre sur la cession de la Lorraine. »/XVIIIe siècle. Papier. 258 pages. 336 sur 222 millim. Rel. veau. -- (Marcol.)"
56,56,"56. Histoire de Léopold I, duc de Lorraine, composée en 1746. Copie./XIXe siècle. Papier. 20 feuillets, 270 sur 198 millim. Sans titre. Cartonné."
57,57,"57. Testament de Stanislas, duc de Lorraine. 1761. Copie./Fol. 1. « Note sur le testament. » - Fol. 5. Testament. - Fol. 30. « Etat général de la maison du roi, au 25 novembre 1760. »  Fol. 53. Article additionnel audit testament. 1764. -- Fol. 59. « Etat général des appointements et gages des officiers et domestiques de la maison du roi. 1764. »/XIXe siècle. Papier. 83 feuillets. 310 sur 204 millim. Cart."
58,58,"58. Recueil de pièces relatives à l'administration de La Galaizière en Lorraine. 1758./Fol. 1. Griefs exprimés par la Cour souveraine, le 27 juin 1758. - Fol. 5. « La Cour asemblée délibéra de faire voir au ministre de France que M. La Galaizière est le moteur des troubles qui agitent la Lorraine. » - Fol. 24. Remontrances de la Chambre des Comptes, du 12 juin 1758. (Copie de l'imprimé de Bar-le-Duc.) - Fol. 32. Procès-verbaux des officiers de différentes localités relatifs à des corvées et des impôts extraordinaires, 1757-1758./XVIIIe siècle. Papier. 42 feuillets. 326 sur 210 millim. Cartonné."
59,59,"59. « Etat sommaire du duché de Bar et des traités intervenus entre les roys de France et les ducs de Bar, à cause du même duché. » Réfutation des prétentions de la France./Cf. Noël. Catalogue des collections lorraines, n° 1089./XVIIIe siècle. Papier. 8 feuillets. 287 sur 212 millim. Cartonné. -- (Ch. Courbe.)"
60,60,"60. Recueil de pièces (imp. et mss.) relatives aux concordats intervenus entre les rois de France et les ducs de Lorraine, à propos du Barrois./Fol. 36. « Mémoire concernant les droits de souveraineté de S. A. R. en qualité de duc de Bar, dans le Barrois mouvant. »/XVIIe siècle. Papier. 46 feuillets de dimensions diverses, dans un cartonnage de 230 sur 175 millim"
61,61,61. « Examen de la nature du duché de Bar ; des traités faits par Charles IV; preuves de leur nullité. »/Ce titre est au verso du dernier feuillet.  Fol. 1. « Tous ceux qui ont quelque connoissance de l'antiquité ...)/XVIIe siècle. Papier. 16 feuillets. 334 sur 210 millim. Cartonné.
62,62,"62. « Origine du comté de Vaudémont » par Ch. Féron./Page 3. Villes.  Page 15. « Les villages qui composent ledit comté. »  Page 122. « Succession chronologique des comtes. » - Page 190. « Recueil des baillis du comté. » --- Page 230 « Discours du comté de Vaudémont » par de Riguet. - Page 248. « Sommaire de l'histoire du comté par Bugnon. »/XVIIIe siècle. Papier. 261 pages. 308 sur 202 millim. En tête, une carte copiée sur celle de Cassini. Plusieurs armoiries coloriées. Rel. veau."
63,63,"63. Recueil de lettres et circulaires de J.-C. Poullain-Grandprey, procureur général syndic du département des Vosges. 12 janvier 1791 - 13 août 1799./XVIIIe siècle. Papier. 59 feuillets de dimensions diverses, dans un cartonnage de 355 sur 220 millim."
