N° épi,N° travée,N° tablette,Auteur,Titre,Année,Cote,Etat,métrage ou commentaire,Carton
45,1,6,MARIE-BERNARD P.,La bienheureuse Jeanne d'Arc: ses vertus d'après le témoignage des Contemporains (1),1909,8 V 68,bon,,
45,1,6,,Jeanne d'Arc (1412 - 1431) (2),,,bon,,
45,1,6,DE NOUSSANNE H.,Pèlerinage aux lieux qu'illustra Jeanne d'Arc (3),,,bon,,
45,1,6,,Eloge des illustres français: éloge de Jeanne d'Arc (extrait) (4),1888,,bon,,
45,1,6,MARTIN F.,La légende de Jeanne d'Arc (1410 - 1431) (5),1851,,bon,,
45,1,6,CRAPELET C.,Jeanne d'Arc (6),1840,,moyen,,
45,1,6,LECOCQ G.,Patria! Etude historique (7),1871,,bon,,
45,1,6,DAVID J.,Vie de Jeanne d'Arc (8),1875,,bon,,
45,1,6,SIMON J.-B.-M.,Vie populaire illustrée de Jeanne d'Arc (9),,,bon,,
45,1,6,RENAUD,"La mission de Jeanne d'Arc, examen d'une opinion de M. Jules Quicherat (10)",1855,,moyen,,
45,1,6,CORDIER (abbé),"Notice sur Jeanne d'Arc, cantate populaire (11)",1892,,bon,,
45,1,6,KELLER E.,Vie de Jeanne d'Arc (1412 - 1431) (12),1894,,bon,,
45,1,6,A. L.,Notes curieuses sur Jeanne d'Arc (13),1896,,bon,,
45,1,6,GONNET E.,"Jeanne d'Arc, trilogie en prose (14)",1891,,bon,,
45,1,6,DRAGOMIROV (général),Jeanne d'Arc (15),1899,,bon,,
45,1,6,FRANCE A.,La véritable histoire de Jacquet Guillaume Parisien (16),1905,,bon,,
45,1,6,DELISLE L.,Bibliothèque de l'école des chartes: nouveau témoignage relatif à la mission de Jeanne d'Arc (17),1885,,bon,,
45,1,6,HERLUISON H.,La fête de Jeanne d'Arc et la famille Gangnières (18),1904,,bon,,
45,1,6,SCHILLER,Monologue de Jeanne d'Arc (1),1818,8 V 69,bon,,
45,1,6,SAINTE BEUVE,"Le mystère du siège d'Orléans ou Jeanne d'Arc, et à propos de l'ancien théâtre français (2)",1862,,bon,,
45,1,6,,"Giovanna d'Arco, théâtre italien (3)",1868,,bon,extraits de différents journaux,
45,1,6,,Jeanne d'Arc de Mermet (4),1866 - 1871,,bon,extraits de différents journaux,
45,1,6,BLAZE DE BURY H.,Revue des deux mondes: Jeanne d'Arc dans la littérature (extrait) (5),1881,,bon,,
45,1,6,DE PUYMAIGRE,Le Correspondant: Jeanne d'Arc au théâtre (extrait) (6),1875,,bon,,
45,1,6,VEBEV P.,Revue d'art dramatique: Jeanne d'Arc au théâtre (extrait) (7),,,bon,,
45,1,6,AUBERTIN C.,"Du théâtre au Moyen-Âge, à propos de Jeanne d'Arc (8)",1866,,bon,,
45,1,6,,Jeanne d'Arc jugée par Shakespeare (9),1899,,bon,,
45,1,6,,"Art et critique, revue littéraire, dramatique, musicale et artistique: Jeanne d'Arc (partie littéraire), La musique de Jeanne d'Arc (partie musicale) (extrait) (11)",1890,,moyen,,
45,1,6,DE L'EPINOIS H.,La controverse et le contemporain: Charles VII et son dernier historien (extrait) (12),1889,,bon,,
45,1,6,CORNUT E.,Compte rendu du livre du P. Ayroles sur Jeanne d'Arc (13),1870,,bon,,
45,1,6,G. A. HEINRICK,Revue d'économie chrétienne: Jeanne d'Arc d'après ses derniers historiens (extrait) (14),1860,,bon,,
45,1,6,SEPET M.,Polybiblion: Ouvrages récents sur Jeanne d'Arc (15),1894,,bon,,
45,1,6,DE WAILLY N.,Jeanne d'Arc par M. Wallon (16),,,moyen,,
45,1,6,,Librairie H. Herluison: Catalogue général des livres de fond (17),1895,,bon,,
45,1,6,,Le bibliophile orléanais: Jeanne d'Arc (extrait) (18),1901,,bon,,
45,1,6,,"Abrégé de la vie de Jeanne d'Arc, suivi du catalogue des livres, estampes & médailles relatifs à la pucelle d'Orléans (19)",1894,,bon,,
45,1,6,,"Catalogue d'une jolie collection de livres sur Jeanne d'Arc, la Lorraine et le pays messin (20)",1888,,bon,,
45,1,6,,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans (imagerie d'Epinal) (1)",,8 V 70,bon,,
45,1,6,,Almanach de Jeanne d'Arc (6),1902,,bon,,
45,1,6,,Almanach de la revue de Jeanne d'Arc (7),1902,,bon,,
45,1,6,,Aux femmes de France: Jeanne d'Arc et les croisades (8),1890,,bon,,
45,1,6,MOUROT V. (abbé),Domremy et le monument national de Jeanne d'Arc (9),,8 V 71,bon,,
45,1,5,,Domrémy et Vaucouleurs: Mélanges,,8 V 72,bon,,
45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 1",1817,8 V 73 (1),bon,,
45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 2",1817,8 V 73 (2),bon,,
45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 3",1817,8 V 73 (3),bon,,
45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 4",1817,8 V 73 (4),bon,,
45,1,5,FEUILLETTE R. P.,Panégyrique de Jeanne d'Arc,1894,8 V 74,bon,,
45,1,5,,Mystères de Jeanne d'Arc,1898,8 V 75,bon,,
45,1,5,QUICHERAT J.,Histoire du siège d'Orléans et des honneurs rendus à la pucelle,1854,8 V 76,bon,,
45,1,5,FABRE J.,"Jeanne d'Arc, libératrice de la France",,8 V 77,bon,,
45,1,5,PORCHAT J.-J.,La mission de Jeanne d'Arc,1844,8 V 78,bon,,
45,1,5,FRONTON DU DUC (père),"Histoire tragique de Jeanne d'Arc, en cinq actes et vers",1847,8 V 79,bon,,
45,1,5,HEBERT M.,Jeanne d'Arc a-t-elle été abjuré?,1914,8 V 80,moyen,,
45,1,5,,Jeanne d'Arc,,8 V 81,bon,,
45,1,5,D'ABANY,"Jeanne d'Arc, poème en vingt-quatre chants",1823,8 V 82,bon,,
45,1,5,ROY J.-J.-E.,Histoire de Jeanne d'Arc dite la pucelle d'Orléans,1862,8 V 83,bon,,
45,1,5,GILLIS (Mgr),Panégyrique de Jeanne d'Arc,1857,8 V 84,bon,,
45,1,5,GRANCHER (abbé),"Ceffonds, lieu d'origine de Jacques d'Arc (1)",1895,8 V 85,bon,Dans pochette cartonnée,
45,1,5,BOUCHER DE MOLANDON,"Jacques d'Arc, père de la pucelle, sa notabilité personnelle (2)",1885,,bon,,
45,1,5,CHAPELLIER J.-C.,Deux actes inédites au XVè siècle sur Domrémy (3),1889,,bon,,
45,1,5,TOUCHET S. G. (Mgr),"La mission de la vénérable Jeanne d'Arc, panégyrique (4)",1896,,bon,,
45,1,5,BADEL E.,Jeanne d'Arc à Nancy (5),1894,,bon,,
45,1,5,MISSET E.,Jeanne d'Arc Champenoise: Réponse à sa grandeur Monseigneur Turinaz (6),1899,,bon,,
45,1,5,MISSET E.,Jeanne d'Arc Champenoise: La nationalité de Jeanne d'Arc et celle de Saint Pierre Fourier (7),1898,,bon,,
45,1,5,REMOIS J.,Jeanne La Lorraine est-elle champenoise ? (8),1951,,bon,,
45,1,5,MILLOT (abbé),Histoire de France: Charles VII et Jeanne d'Arc (2),1777,8 V 86,bon,Dans pochette cartonnée,
45,1,5,MILLOT (abbé),"Elémens de l'histoire d'Angleterre, tome 1 (3)",1794,,bon,,
45,1,5,MILLOT (abbé),"Elémens d'histoire générale, seconde partie: histoire moderne, tome 6 (4)",1790,,bon,,
45,1,5,VIARD,Recueil des époques les plus intéressantes de l'histoire de France (5),1769,,bon,,
45,1,5,DANTIER A.,Jeanne d'Arc (6),1876,,bon,,
45,1,5,DE FELLER,"Dictionnaire historique ou Biographie universelle: Jeanne d'Arc, manuscrit (7)",1897,,bon,,
45,1,5,,"Répertoire universel historique, biographique des femmes célèbres: Jeanne d'Arc (8)",1826,,bon,,
45,1,5,FOA E.,Les enfants illustres: La paysanne de Domrémy ou Jeanne d'Arc (9),1845,,bon,,
45,1,5,LAURENTIE,Histoire de France tome 3: Jeanne d'Arc (10),1857,,moyen,,
45,1,5,,"Le plutarque des jeunes demoiselles, ou abrégé des vies des femmes illustres de tous les pays tome 1: Jeanne d'Arc (11)",1806,,moyen,,
45,1,5,PERNET,Précis de l'histoire de France par tableaux philosophiques: Charles VII (12),1840,,bon,,
45,1,5,FALLET C.,Histoire des ducs de Normandie: Charles VII et Jeanne d'Arc (13),1853,,moyen,,
45,1,5,PIERROT (abbé),Histoire de France tome 6: Charles VII et Jeanne d'Arc (14),1858,,moyen,,
45,1,5,MICHELET J.,Jeanne d'Arc: son enfance et sa vocation (15),1890,,bon,,
45,1,5,,"Abrégé de la vie et des actions, miraculeuses de Ieanne d'Ark (16)",,,bon,,
45,1,5,,Memoir of Jeanne d'Arc (17),1893,,bon,,
45,1,5,OLLIVIER M.-J.,Almanach national illustré de Jeanne d'Arc (18),1895,,bon,,
45,1,5,THEVET A.,Jeanne d'Arc (1),1890,8 V 87,bon,Dans pochette cartonnée,
45,1,5,VALLET DE VIRIVILLE,Notes sur deux médailles de plomb relatives à Jeanne d'Arc (2),1861,,bon,,
45,1,5,,"Revue archéologique: Portrait de Jeanne d'Arc, peinture allemande du XVè siècle (3)",1859,,bon,,
45,1,5,CARRIER-BELLEUSE P.,Le panorama de Jeanne d'Arc (4),,,bon,,
45,1,5,HERLUISON H.,Souvenirs orléanais à Bologne (5),1898,,bon,,
45,1,5,ARTHES E.,"Liste chronologique des ouvrages de peinture, sculpture, architecture, gravure & lithographie concernant Jeanne d'Arc (6)",1895,,bon,,
45,1,5,,"Notice sommaire des uvres de sculpture, monuments épigraphiques et objets divers exposés dans les salles lapidaires du musée historique de l'Orléanais (7)",1903,,bon,,
45,1,5,HERLUISON H.,"Le nouveau musée de Jeanne d'Arc, note sur son inauguration (8)",1894,,bon,,
45,1,5,,"Les souvenirs de Jeanne d'Arc à la cathédrale d'Orléans: Les verrières, l'inscription commémorative, les bannières et les cloches (9)",1898,,bon,,
45,1,5,,Mélanges sur Jeanne d'Arc (10),,,bon,,
45,1,5,,Archives historiques et littéraires du Nord de laFrance et du Midi de la Belgique tome 3: Lettre de Jeanne d'Arc au duc de Bourgogne (1),1833,8 V 88,moyen,Dans pochette cartonnée,
45,1,5,CHAPOTIN M.-D. (frère),L'année dominicaine: Jeanne d'Arc et les Dominicains (2),1894,,bon,,
45,1,5,LUCE S.,Revue des deux mondes tome 45: Jeanne d'Arc et les ordres mendians (3),1881,,bon,,
45,1,5,VATIN,Comité archéologique de Senlis: Combat sous Senlis entre Charles VII et les Anglais (4),1867,,moyen,,
45,1,5,FROUBAT J.,La nouvelle revue: Jeanne d'Arc et Guillaume de Flavy (5),1880,,bon,,
45,1,5,,Si Jeanne d'Arc a été brulée (6),1844,,bon,,
45,1,5,DELVIGNE A.,Revue générale: Jeanne d'Arc et sa mission (7),1878,,bon,,
45,1,5,DE SAINT-HILAIRE E. M.,Histoire des conspirations et des exécutions politiques tome 1: Mort de Jeanne d'Arc (8),1849,,moyen,,
45,1,5,"LEBER C., SALGUES J.-B. et COHEN J.","Collection des meilleures dissertations, notices et traités particuliers relatifs à l'histoire de France: Procès de Jeanne d'Arc (9)",1830,,moyen,,
45,1,5,QUICHERAT J.,"Causeries du lundi: Procès de Jeanne d'Arc, manuscrit (10)",1858,,bon,,
45,1,5,WALLON H.,Le Correspondant: Le procès de Jeanne d'Arc (11),1868,,bon,,
45,1,5,,Mémoires et consultations en faveur de Jeanne d'Arc (12),1889,,bon,,
45,1,5,PECHENARD (abbé),"Travaux de l'académie nationale de Reims: Jean Juvénal des Ursins, archevêque de Reims (13)",1876,,bon,,
45,1,5,,Jeanne d'Arc - sa béatification,,8 V 89,bon,,
45,1,5,TURINAZ (Mgr),"Jeanne d'Arc, discours prononcé par Msg Turinaz (1)",1890,8 V 90,bon,Dans pochette cartonnée,
45,1,5,LAGRANGE (abbé),La semaine religieuse du Bery: Panégyrique de Jeanne d'Arc (2),1866,,bon,,
45,1,5,MONSABRE P.,Nouvelle bibliothèque populaire: Jeanne d'Arc (3),1877,,bon,,
45,1,5,LANGENIEUX (Mgr),"La cause de Jeanne d'Arc, panégyrique (4)",1885,,bon,,
45,1,5,GERMAIN (Mgr),"Fête de Jeanne d'Arc: Soirée dramatique, érection d'une statue (5)",1891,,bon,,
45,1,5,MOUROT (abbé),Notre-Dame de Sion et Jeanne d'Arc: la Vierge de la Lorraine et la Vierge Lorraine (6),1894,,bon,,
45,1,5,,Bulletin des serviteurs de Saint-Pierre: Panégyrique de Jeanne d'Arc (7),1894,,bon,,
45,1,5,,"Souvenirs du ""Te Deum"" de Jeanne d'Arc à N.-D. de Paris (8)",1894,,bon,,
45,1,5,GUILLEMIN A.,"Jeanne d'Arc, poème en douze chants",1844,8 V 91,bon,,
45,1,5,MOUGENOT L.,"Jeanne d'Arc, le duc de Lorraine et le sire de Baudricourt",1895,8 V 92,bon,,
45,1,5,BADEL E.,Jeanne d'Arc à Nancy,1890,8 V 93,moyen,,
45,1,5,,Statues de Jeanne d'Arc érigées en France et à l'étranger,,8 V 94,bon,,
45,1,5,BONVALOT A.,"Jeanne d'Arc, poème",1837,8 V 95,moyen,,
45,1,5,RENARD,Jeanne d'Arc était-elle française? Réponse au mémoire de M. Henri Lepage²,1852,8 V 96,bon,,
45,1,5,DE LUCHET,"Dissertation sur Jeanne d'Arc, vulgairement nommée la pucelle d'Orléans",1776,8 V 97,bon,,
45,1,5,LEMAIRE H.,"Vie de Jeanne d'Arc, surnommée la pucelle d'Orléans",1818,8 V 98,bon,,
45,1,5,DUPONT L.,Les trois statues de Jeanne d'Arc,1855,8 V 99,bon,,
45,1,5,DESJARDINS A.,Vie de Jeanne d'Arc,1854,8 V 100,bon,,
45,1,5,,Premier panégyrique de Jeanne d'Arc,1869,8 V 101,bon,,
45,1,5,LUCE S.,Jeanne d'Arc à Domrémy,1887,8 V 102,bon,,
45,1,5,HINZELIN E.,Chez Jeanne d'Arc,1904,8 V 103,bon,,
45,1,5,DENIS L.,"Jeanne d'Arc, médium",1923,8 V 104,bon,,
45,1,5,JENY L. et LANERY D'ARC P.,"Jeanne d'Arc en Berry et l'ancienne fête dite ""de la pucelle"" à Bourges",,8 V 105,bon,,
45,1,5,,Gallerie zu Schillers Gedichten,,8 V 106,bon,,
45,1,5,,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans",1839,8 V 107,bon,,
45,1,5,CHAMPION L.,Jeanne d'Arc écuyère,1901,8 V 108,bon,,
45,1,5,CARRIER-BELLEUSE P.,"La mission patriotique de Jeanne d'Arc, huit tableaux",,8 V 109,bon,,
45,1,5,DE MONTROND M.,"Jeanne d'Arc, récit d'un preux chevalier",1859,8 V 110,bon,,
45,1,5,BOUTON,Pierre Cauchon,1890,8 V 111,bon,avec notes manuscrites,
45,1,5,RICARD (Mgr),Jeanne d'Arc la vénérable,,8 V 112,bon,,
45,1,5,A. F. N.,"Jeanne d'Arc, tragédie en cinq actes",1825,8 V 113,moyen,,
