id,n_carton,fonds,type_de_document,auteur,auteur_bis,titre,couverture,langue,edition,datation,contenu,etat,ancien_proprietaire,notes,don,emplacement_initial_dans_la_bibliotheque
15,132,Abbé Harmand,Livre de poche,"J. Henri Fabre, docteur en sciences",_,"Eléments de chimie, à l'usage de tous les établissements d'instruction publique.",Vert à tranche marron,Français,"Paris, Librairie CH. Delagrave",1887,Cours de chimie avec illustration et table des matières,Correct,_,"""Cours supérieurs""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
16,132,Abbé Harmand,Livre de poche,"M. Adler Mesnard, maitre de conférences",_,Cours complet de langue allemande. Versions et thèmes écrits et parlés appliqués aux règles de la grammaire et accompagné d'un vocabulaire.,Vert à tranche grise,Français-Allemand,"Paris, Librairie CH. Delagrave",1884,"Cours d'allemand, table des matières",Correct,Madeleine Goüy de Bellocq,Dessins et tampons,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
17,132,Abbé Harmand,Livre de poche,L'abbé Gaultier ,"Corrigé par De Blignières, Demoyencourt, Ducros et Le Clerc.",Géographie.,Rose (rien d'écrit),Français,"Pais, Jules Renouard et Cie",1848,"Leçons, cartes géographiques, table des matières",Correct,_,Pages de publicité jaunes au début du livre. ,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
18,132,Abbé Harmand,Livre de poche,"E.-J. Taratte, directeur de l'école supérieure de Metz",_,Eléments de grammaire française.,Jaune ,Français,"Paris, Borrani et Droz",1850,"Cours, exercices, questionnaire et table des matières",Correct,Zoé de Bellocq,Calculs manuscrits,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
19,132,Abbé Harmand,Livre de poche,"M. Edom, recteur de l'académie de Reims",_,Histoire sainte abrégée précédée de l'analyse des livres saints.,Marron ,Français,"Paris, Dezobry, E. Magdeleine et Cie, Libraires-éditeurs",1849,Explication de l'Ancien Testament,Correct mais les pages commencent à se détacher,Zoé de Bellocq,"""Ce livre appartient à Zoé de Bellocq""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
20,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",_,"Précis élémentaire d'histoire ecclésiastique suivi De la Chronologie des Papes, Conciles, Ordres religieux, Hérésies, principaux Personnages etc.",Beige à tranche bleue,Français,"Paris, Librairie classique d'Eugène Belin",1855,"Histoire de la chrétienté, table des matières",Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
21,132,Abbé Harmand,Livre de poche,J.-L. Sanis,_,Petite histoire de France depuis les temps anciens jusqu'à nos jours. À l'usage des commençants.,Rose  ,Français,"Paris, CH. Bazin, éditeur",1872,Chapitres sur le sujet,Correct mais les pages ne tiennent plus,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
22,132,Abbé Harmand,Livre de poche,Félix Ansart,Portraits revus par E. Ansart et fils. ,Petite histoire de France à l'usage des écoles primaires.,Violette,Français,"Paris, Librairie Ecclésiastique, Classique et Elémentaire de CH. Fouraut et fils",1871,"Chapitres, cartes géographiques et portraits",Correct,Emma Goüy de Bellocq,Institution de Melle Bernard,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
23,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",_,"Cours abrégé d'histoire, de géographie, de littérature, d'histoire littéraire et de mythologie (Histoire romaine).",Beige à tranche bleue,Français,"Paris, Librairie classique d'Eugène Belin",1852,"Cours d'histoire romaine. Tables synchroniqueset analytique, table des matières",Correct,_,Pages de publicité jaunes au début du livre. ,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
24,132,Abbé Harmand,Livre de poche,"M. Edom, recteur de l'académie de Reims",_,Vie abrégée de N.-S. Jésus-Christ selon le texte des évangiles des dimanches etr des fêtes de l'année.,Vert ,Français,"Paris, Librairie CH. Delagrave",XIXe siècle,Vie de Jésus-christ avec des illustrations.,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
25,132,Abbé Harmand,Livre de poche,"Félix Ansart, professeur d'histoire au lycée de Dijon",_,Petite histoire sainte.,Bleu  à tranche marron,Français,"Paris, Librairie Ecclésiastique, Classique et Elémentaire de CH. Fouraut et fils",1871,Chapitres et table des matières,Correct,Emma Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
26,132,Abbé Harmand,Livre de poche,L. Todière,_,Histoire de l'Europe et particulièrement de la France de 1610 à 1789.,Marron/Rouge,Français,"11e édition. Paris, Imprimerie et Librairie classique de Jules Delalain et fils. ",Octobre 1883,Chapitres et table des matières,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
27,132,Abbé Harmand,Livre de poche,A. Riquier et l'abbé Combes,_,Cours complet d'instruction élémentaire à l'usage de la jeunesse dans les collèges et dans les institutions. Histoire ancienne (L'Orient jusqu'aux gueres médiques).,Marron (rien d'écrit),Français,"Paris, Librairie CH. Delagrave",1883,"Chapitres, table des matières et carte géographique.",Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
28,132,Abbé Harmand,Livre de poche,M. P. Larousse,_,"La lexicologie des écoles, cours complet de langue française et de style divisé en trois années. Grammaire complète, syntaxique et littéraire, cours de deuxième année. ",Jaune à tranche bleue,Français,"Paris, Aug. Boyer et Cie",XIXe siècle,Cours de grammaire,Manque tout le début du livre,Emma Goüy de Bellocq,"Ecritures manuscrites sur la première page: ""Mardi 13 juin 11h du matin"" / ""Dimanche 23 juillet"" / ""Jeudi 1er juin"" avec des dessins etc. et sur la dernière page: ""Le dimanche des rameaux 9 avril 76. Dans huit jours les []de Pâques! Aujourd'hui 9 avril pendant la leçon de style de Mme Marie Hugèle. C'est demain les rameaux! Ah! quel ennui! devant tout le monde encore""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
29,132,Abbé Harmand,Livre de poche,F. P. B.,_,Les quatre règles.,Beige,Français,"Tours, Alfred Mame et fils / Paris, Poussielgue frères",1876,Cours de mathématiques,Pages détachées et couverture très tachée.,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
30,132,Abbé Harmand,Livre de poche,M. L. Leclerc,_,Petite grammaire des écoles primaires contenant plus de 4500 exercices d'application très-simples et très faciles à la suite des règles.,Bleue,Français,"Paris, Librairie classique d'Eugène Belin",1873,"Cours de grammaires, exercices, liste de verbes et table des matières",Beaucoup d'criture un peu partout. Les pages se détachent. ,Madeleine et Pauline Goüy de Bellocq,Beaucoup d'écritures un peu partout.,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
31,132,Abbé Harmand,Livre de poche,"M. L'abbé Drioux, chanoine honoraire de Langres, docteur en théologie",_,"Précis de l'histoire moderne, depuis la prise de Constantinople jusqu'à la chute du premier Empire français (1453-1815) à l'usage des établissements d'instruction secondaire.",Beige,Français,"Paris, Librairie classique d'Eugène Belin",1872,Chapitres et table des matières,Correct,"Emma Goüy de Belloqc, octobre 1881",_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
32,132,Abbé Harmand,Livre de poche,"M. Lamé Fleury, auteur de plusieurs ouvrages d'éducation",_,L'histoire de France raconté à la jeunesse.,Beige ,Français,"Paris, A. Allouard, Libraire-comissionnaire",1847,Chapitres et table des matières,Correct,Emma Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
33,132,Abbé Harmand,Livre de poche,"M. Lamé Fleury, auteur de plusieurs ouvrages d'éducation",_,L'histoire de France raconté à la jeunesse.,Beige,Français,"Paris, Charles Borrani et A. Allouard",1848,Chapitres et table des matières,Correct mais maqnue des pages,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
34,132,Abbé Harmand,Livre de poche,"J.-H. Fabre, docteur en sciences",_,Cours complet d'instruction élémentaire à l'usage de la jeunesse. Physique élémentaire. ,Vert,Français,"Paris, Librairie CH. Delagrave",1886,Chapitres et table des matières et illustrations,Correct,"Madeleine Goüy de Bellocq, première classe, orfelinat ",_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
35,132,Abbé Harmand,Livre de poche,Gustave Hubault,_,Histoire contemporaine de 1789 à 1875.,Bleu,Français,"Paris, Librairie CH. Delagrave",1884,Cours d'histoire contemporaine,Plus rien ne tient ensemble,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
36,132,Abbé Harmand,Atlas,Achille Meissas et Auguste Michelot,_,Petit atlas élémentaire.,Bleu,Français,"Paris, Librairie L. Hachette",XIXe siècle,Atlas pour enfant,Plus rien ne tient ensemble,_,Ecritures d'enfant,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
37,132,Abbé Harmand,Livre de poche,F. I. C,_,Arithmétique cours supérieur.,Vert,Français,"Tour, Alfred Mame et fils / Pris, Poussielgue frèrese édition.",XIXe siècle,"Cours d'arithmétique, calculs, table des matières",Correct,"Madeleine Goüy de Bellocq, aspirantes 1887",Dessin d'une feuille d'arbre sur la première page,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
38,132,Abbé Harmand,Livre de poche,"E.-J. Taratte, officier d'académie",_,Premiers éléments de Littérature française à l'usage des écoles et des pensions des deux sexes.,Beige,Français,"Metz, Pallez et Rousseau / Metz, M. Alcan",1851,Cours de littérature et table des matières. ,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
39,132,Abbé Harmand,Livre de poche,F. I. C,_,Eléments d'arithmétique avec de nombreux exercices.,Beige,Français,"Tours, Alfred Mame et fils / Paris, Poussielgue frères",1880,"Cours d'arithmétique, calculs, table des matières",Correct,_,"Sur la première page : ""Faites moi comprendre mon Dieu! Que l'humble connaissance de moi-même est une voie bien plus sûre pour aller à voir que la recherche d'une science profonde""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
40,132,Abbé Harmand,Livre de poche, H. Fabre,_,"Cours complet d'enseignement littéraire et scientifique à l'usage de tous les établissements d'instruction publique. Cours d'histoire naturelle, botanique.",Bleu,Français,"Paris, Librairie CH. Delagrave",1888,Cours de botanique et table des matières,Correct,Madeleine Goüy de Bellocq,"""Cours supérieur""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
41,132,Abbé Harmand,Livre de poche,"J. Henri Fabre, docteur en sciences",_,Cours complet de sciences élémentaires. Eléments de physique à l'usage de tous les établissement d'instruction publique.,Bleu,Français,"Paris, Librairie CH. Delagrave",1887,"Cours de physique, calculs, illustrations et table des matières",Correct,Madeleine Goüy de Bellocq,"""Cours supérieur""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
42,132,Abbé Harmand,Carnet de notes,Madeleine Goüy de Bellocq,_,Carnet de notes de sciences.,Rose à carreaux (rien d'écrit),Français,Nancy,Mai 1887-1888,Prise de notes en cours de sciences,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
43,132,Abbé Harmand,Livre de poche,_,_,Catéchisme du diocèse de Nancy et de Toul.,Jaune,Français,"Nancy, Thomas, Pierron et Hozé",188[],Enseignement du catéchisme,Correct,Madeleine Goüy de Bellocq,"""Catéchisme de l'année de ma 1ère communion 20 mai 1883 année de grâce 83""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
44,132,Abbé Harmand,Livre de poche,C. et H. Witcomb,_,Nouveau guide de conversation moderne en français et en anglais.,Beige,Français-Anglais,"Paris, Baudry, European library",1848,Guide de conversation français/anglais,Correct,_,"Plusieurs mots manuscrits: ""l'automne"", ""les fruits"", cela est moi"", ""it is true""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
45,132,Abbé Harmand,Livre de poche,Abbé A. Dejoie,_,"Brevet de l'enseignement primaire. Eléments de psychologie, de morale, d'économie politique et d'instruction civique.",Bleu,Français,"Nantes, imprimerie Bourgeois",1884,"Cours de psychologie, de morale et d'économie politique. Table des matières. ",Plus rien ne tient ensemble,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
46,132,Abbé Harmand,Livre de poche,M. Villemereux,_,Histoire sainte. Premier livre de lecture des écoles primaires.,Bleu,Français,"40e édition. Paris, Librairie CH. Delagrave",1877,Histoire de l'Ancien Testament,Correct,Madeleine Goüy de Bellocq,Le titre est recopié en manuscrit sous l'original.,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
47,132,Abbé Harmand,Livre de poche,Larive et Fleury,_,Exercices français de première année correspondant et faisant suite à la première année de grammaire.,Bleu,Français,"Paris, Librairie classique d'Armand Colin et Cie",1878,Exercices de français,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
48,132,Abbé Harmand,Livre de poche,_,_,Epitres et évangiles des dimanches et des principales fêtes de l'année.,Bleu,Français,"Tours, Alfred Mame et fils ",XIXe siècle,Epitres et évangiles,Correct,Madeleine Goüy de Bellocq,Multiples écritures. Plusieurs noms féminins en haut des pages. ,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
49,132,Abbé Harmand,Livre de poche,"J. Henri Fabre, docteur en sciences",_,Cours complet d'instruction élémentaire à l'usage de la jeunesse dans les collèges et les institutions de jeunes personnes. Chimie élémentaire.,Vert,Français,"Paris, Librairie CH. Delagrave",1884,Cours de chimie. Table des matières. ,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
50,132,Abbé Harmand,Livre de poche,Monseigneur l'évêque de Nancy et de Toul,_,Choix de poésies à l'usage de la jeunesse.,Bleu,Français,"8e édition. Nancy, Librairie de N. Grosjean",1870,Poésies,Correct,"Madeleine Goüy de Bellocq, 3 rue d'Alliance, Nancy",_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
51,132,Abbé Harmand,Livre de poche,Monseigneur l'évêque de Nancy et de Toul,_,Choix de poésies à l'usage de la jeunesse.,Bleu,Français,"10e édition. Nancy, Librairie de N. Grosjean",1879,Poésies,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
52,132,Abbé Harmand,Livre de poche,Virginie Mauvais,_,Leçon de géographie méthodique.,Bleu,Français,"3e édition. Nancy, Grimblot et Ve Raybois, Imprimeurs-libraires",1848,Notions de géographie,Correct. Manque quelques pages,Zoé de Bellocq,"""Ce livre appartient à Zoé de Bellocq""","Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
53,132,Abbé Harmand,Livre de poche,"J. Henri Fabre, docteur en sciences",_,Cours complet d'instruction élémentaire à l'usage de la jeunesse dans les collèges et les institutions de jeunes personnes. Notions d'histoire natuelle. ,Bleu,1886,"Paris, Librairie CH. Delagrave",1886,Notion d'histoire naturelle. ,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
54,132,Abbé Harmand,Carnet de notes,Madeleine Goüy de Bellocq,_,Carnet de notes de sciences.,Rose à pois (rien d'écrit),Français,Nancy,18 octobre 1888-1889,Prise de notes en cours de sciences,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
55,132,Abbé Harmand,Livre de poche,F. P. B.,_,Nouveau traité d'arithmétique décimale. Le système métrique.,Rose,Français,"Tours, Alfred Mame et fils / Paris, Poussielgue frères",1877,Cours d'arithmétique. Calculs. ,Correct,Pauline Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
56,132,Abbé Harmand,Carnet de notes,Madeleine Goüy de Bellocq,_,Cantique à saitn Dominique.,Carreaux noirs (rien d'écrit),Français,Nancy,XIXe siècle,Cantique à saint Dominique,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
57,132,Abbé Harmand,Carnet de notes,Madeleine Goüy de Bellocq,_,Carnet de formules arithmétiques et géométriques.,Fleurs bleues (rien d'écrit),Français,Nancy,1887-1889,Prise de notes en cours de mathématiques,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
58,132,Abbé Harmand,Livre de poche,Besse de Larzes,_,Nouvelles poésies.,Papier,Français,"2e édition. Amiens, Imprimerie Yvert et Tellier",_,Receuil de poésies,Correct,Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
59,132,Abbé Harmand,Livre de poche,Mme Charrier-Boblet,_,L'orthographe enseignée par la pratique.,Marron à tranche bleue,Français,"Paris, Librairie CH. Delagrave",1868,Cours d'orthographe,Plus rien ne tient ensemble,Emma Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
60,132,Abbé Harmand,Livre de poche,F. Ahn,_,La langue allemande.,Violet ,Français,"Leipzig, F. A. Brockhaus",1886,Cours d'allemand.,Plus rien ne tient ensemble,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
61,132,Abbé Harmand,Livre de poche,L.-G. Montdéraines,_,Méthode française. Grammaire du jeune âge.,Rouge (rien d'écrit),Français,"Paris, Au bureau du Tam-Tam.",_,Cours de grammaire.,Correct.,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
62,132,Abbé Harmand,Livre de poche,_,_,_,Vert (rien d'écrit),Anglais,_,_,Cours d'anglais.,Correct,_,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
63,132,Abbé Harmand,Livre de poche,A. Magin,_,Histoire de France depuis les temps les plus anciens jusqu'à nos jours.,Beige,Français,"Paris, Librairie CH. Delagrave",1884,Cours d'histoire.,Correct,Madeleine Goüy de Bellocq,_,"Abbé Mathieu et abbé Harmand, Orphelinat de Haroué, Meuthe et Moselle",1er étage travée 28 (2)
