id,epi,travee,tablette,auteur,titre,annee,cote,tome,etat,metrage_ou_commentaire,carton
53,45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, la Vierge de Domrémy",1890,8 V 12,,bon,,
54,,58,,MOUROT V. (l'Abbé du Diocèse de St dié),Jeanne d'Arc la Vierge de Domrémy,1890,8 V 12,,bon,,106
55,45,1,5,VALET DE VIRIVILLE,Chronique de la pucelle ou chronique de Cousinot,1859,8 V 120,,bon,,
56,,58,,DE VIRIVILLE V.,Chronique de la pucelle ou chronique de Cousinot,1859,8 V 120,,bon,,108
57,45,1,5,MICHELET J.,Jeanne d'Arc (1412 - 1431),1853,8 V 121,,bon,,
59,45,1,4,MANTELLIER P.,Notice des collections composant le musée de Jeanne d'Arc à Orléans,1880,8 V 122,,bon,,
61,45,1,4,FABRE J.,Procès de condamnation de Jeanne d'Arc,1884,8 V 123,,bon,,
63,45,1,4,DE BOUTEILLER E. et DE BRAUX G.,La famille de Jeanne d'Arc,1878,8 V 124,,bon,,
64,,58,,DE BOUTEILLER E. et DE BRAUX G.,"La famille de Jeanne d'Arc, tome I",1878,8 V 124,,bon,,108
65,45,1,4,DE BOUTEILLER E. et DE BRAUX G.,Nouvelles recherches sur la famille de Jeanne d'Arc,1879,8 V 124,2,bon,,
66,45,1,4,HANOTAUX G.,Jeanne d'Arc,1911,8 V 125,,bon,,
67,,58,,HANOTAUX G.,Jeanne d'Arc,1911,8 V 125,,bon,,108
68,45,1,4,TOUCHET (Mgr),"Avant, pendant, après la béatification de Jeanne d'Arc",,8 V 126,,bon,,
70,45,1,4,DE MALEISSYE C. (comte),Les lettres de Jeanne d'Arc et la prétendue abjuration de Saint-Ouen,1911,8 V 127,,bon,,
71,,58,,DE MALEISSYE C. (comte),"Les Reliques de Jehanne d'Arc, ses Lettres",1911,8 V 127,,bon,,108
72,45,1,4,DE MALEISSYE C. (comte),Les reliques de Jeanne d'Arc,1909,8 V 128,,bon,,
73,,58,,DE MALEISSYE C. (comte),"Les Reliques de Jehanne d'Arc, ses Lettres",1909,8 V 128,,bon,,108
74,45,1,4,MOUROT (abbé),La nationalité de Jeanne d'Arc,1896,8 V 129,,bon,,
75,,58,,MOUROT V. (l'Abbé du Diocèse de St dié),La Nationalité de Jeanne d'Arc,1896,8 V 129,,bon,,108
76,45,1,6,LEMANN J. (abbé),Jeanne d'Arc et les héroïnes juives,1891,8 V 13,,bon,,
77,,58,,LEMANN J. (l'Abbé),Jeanne d'Arc et les Héroïnes juives,1873,8 V 13,,bon,,106
78,45,1,4,,"Nationalité de Jeanne d'Arc, mélanges",,8 V 130,,bon,,
84,45,1,4,HUET E.,"Jeanne d'Arc et la musique, bibliographie musicale",1909,8 V 133,,bon,,
86,45,1,4,DE MOLANDON B.,"Première expédition de Jeanne d'Arc, le ravitaillement d'Orléans",1874,8 V 134,,bon,,
87,,58,,BOUCHER DE MOLANDON M.,"Première expédition de Jeanne d'Arc, le ravitaillement d'Orléans",1874,8 V 134,,bon,,108
90,45,1,4,ORBAY M. R.,"Jeanne d'Arc, notre Jeannette",1948,8 V 136,,bon,,
92,,58,,WALLON H.,"Jeanne D'Arc, tome second",1876,8 V 137,,bon,,108
93,,58,,WALLON H.,"Jeanne d'Arc, tome premier",1876,8 V 137,,bon,,108
94,45,1,4,WALLON H.,Jeanne d'Arc tome 1,1876,8 V 137,1,bon,,
95,45,1,4,WALLON H.,Jeanne d'Arc tome 2,1876,8 V 137,2,bon,,
96,45,1,4,PETIT DE JULLEVILLE L.,La bienheureuse Jeanne d'Arc,1909,8 V 138,,bon,,
97,,58,,PETIT DE JULLEVILLE L.,La bienheureuse Jeanne d'Arc,1909,8 V 138,,bon,,108
98,45,1,4,DE SAINT-LEON C. M.,"Jehanne d'Arc, miracle",1935,8 V 139,,bon,,
100,45,1,6,LESIGNE E.,La fin d'une légende: vie de Jeanne d'Arc (de 1409 à 1440),1889,8 V 14,,bon,,
101,,58,,LESIGNE E.,Vie de JJeanne d'Arc,1889,8 V 14,,bon,,106
102,45,1,4,DU FRESNOY L. (abbé),"Histoire de Jeanne d'Arc, dite la pucelle d'Orléans, partie 1",1775,8 V 140,,bon,,
104,45,1,4,PIE DE LANGOGNE P.,Jeanne d'Arc devant la S. congrégation des rites,1894,8 V 141,,bon,,
106,45,1,4,ANTONELLI COSTAGGINI G.,Vita della Beata Giovanna d'Arc,1909,8 V 142,,bon,,
107,,58,,ANTONELLI COSTAGGINI G.,Vita dela Beata Gionvavva d'Arc,1909,8 V 142,,bon,,108
108,45,1,4,AYROLES J.-B.-J.,"La vraie Jeanne d'Arc: la pucelle devant l'église de son temps, documents nouveaux",1890,8 V 143,,bon,,
109,,58,,AYROLES J.-B.,La Pucelle devant l'église de son temps,1890,8 V 143,,bon,,108
110,45,1,4,,Le Vè centenaire de Jeanne d'Arc (1429 - 1929) (1),,8 V 144,,bon,Dans boîte en carton,
111,,57,,PLATAU (Monseigneur),Le Ve Centenaire de Jeanne d'Arc,Non daté,8 V 144,1,bon,,111
112,,57,,BATAILLE H.,"Vaucouleurs, son Histoire, son tour d'Horizon",1935,8 V 144,10,bon,,111
113,,57,,MARTIN E.,L'Office de la Bienheureuse Jeanne d'Arc,1910,8 V 144,11,bon,,111
114,,57,,HENRI (Chanoine),Discours prononcé à la fête célébrée le 27 Juin 1909 à la Cathédrale de Nancy en l'honneur de la béatification de Jeanne d'Arc,1909,8 V 144,12,bon,,111
115,,57,,GAUTHEY L. (Abbé),"Discours en l'Honneur de Jeanne d'Arc prononcé le 8 Avril, à la cathédrale d'Autun et le 13 mai, à la cathédrale de Nevers",1894,8 V 144,13,bon,,111
116,,57,,CAMPAUX A.,Jeanne d'Arc et Mr Dupanloup,1878,8 V 144,14,bon,,111
118,,57,,FELS A.,Le Jeu de la pucelle,1939,8 V 144,16,bon,,111
119,,57,,LANERY D'ARC,Jeanne d'Arc et la Guerre de 1914,1916,8 V 144,17,bon,,111
122,,57,,,"Domremy, la Basilique du Bois Chenu",Non daté,8 V 144,2,bon,,111
123,,57,,SALEMBIER (Abbé),"Domremy, Impressions et souvenirs",1896,8 V 144,20,bon,,111
124,,57,,VATIN F.,La Maison de Jeanne d'Arc à Domremy,1906,8 V 144,21,bon,,111
125,,57,,CHEVELLE C.,"Documents Historiques sur la Chatellenie de Vaucouleurs, premier fascicule, Ermitage de Saint-Nicolas-de-Septfonds",1892,8 V 144,22,bon,,111
126,,57,,BARRET R.P.,"Jeanne d'Arc, Epiphanie de l'Âme française",1915,8 V 144,3,bon,,111
127,,57,,Chapelle Saint-Jean de La Curbie,La merveilleuse et symbolique histoire de la bague de Jeanne d'Arc,Non daté,8 V 144,4,bon,,111
128,,57,,SEGAULT F.,La Nuit du Sacre,1913,8 V 144,5,bon,,111
129,,57,,MALASSAGNE (l'Abbé),Sainte Jeanne d'Arc patronne de la France,1920,8 V 144,6,bon,,111
130,,57,,,Message de Jeanne d'Arc,1956,8 V 144,7,bon,,111
132,,57,,CHAUPIN A. et JEAN (Evèque),Chapelle de la Bienheureuse Jeanne d'Arcà Vaucouleurs,1912,8 V 144,9,bon,,111
133,45,1,4,GUIRAUD J.,La critique en face d'un mauvais livre (1),1926,8 V 145,,bon,,
135,,57,,TURINAZ,La Seconde apparition de Jeanne d'Arc,1909,8 V 145,10,bon,,111
136,,57,,TURINAZ,L'uvre des Prières et des tombes militaires et de l'achèvement de la basilique de Jeanne d'Arc à Domrémy,1892,8 V 145,11,bon,,111
137,,57,,TURINAZ,"La Très sainte vierge Jeanne d'Arc et la France, discours prononcé devant la grotte de Lourdes",1888,8 V 145,12,bon,,111
138,,57,,ARMAND DE CHABANNES,La Vénérable Jeanne d'Arc dédiée à la jeunesse chrétienne,1894,8 V 145,13,bon,,111
139,,57,,JULIEN (Monseigneur),"Sainte-Jeanne d'Arc, le Chemin de croix",1920,8 V 145,14,bon,,111
141,,57,,F E.G.,Jeanne d'Arc a-t-elle existé ? A-t-elle été brûlée ?,1866,8 V 145,16,bon,,111
142,,57,,"GEORGE, LENÔTRE, SAVE","Le Mariage de Jeanne d'Arc, la Fausse Jeanne d'Arc","1893, 1890, 1887",8 V 145,17,bon,,111
144,,57,,LOMBARD A.,Jeanne d'Arc,1882,8 V 145,19,bon,,111
146,,57,,PAROCCHI L.-M.,Le Surnaturel dans la vénérable Jeanne d'Arc,1895,8 V 145,20,bon,,111
147,,57,,MARMOTTIN,Panégyrique de Ste Jeanne d'Arc,1933,8 V 145,21,bon,,111
148,,57,,CHESNELONG,"Jeanne d'Arc et la vocation chrétienne de la France, conférence faite à Nancy le 17 Mai 1894",1894,8 V 145,22,bon,,111
149,,57,,AYROLES J.-B.,La Bienheureuse pucelle peut-elle être invoquée comme martyre ?,1909,8 V 145,23,bon,,111
150,,57,,EM. S. (Cardinal),"Lépicier, Légat du Pape aux fêtes de Sainte Jeanne d'Arc",1929,8 V 145,24,bon,,111
153,,57,,WALLON H.,"Discours sur le Contre-projet de Mm. Le Royer, Demole, Ranc, etc.",1894,8 V 145,27,bon,,111
154,,57,,H. H.,"Les Verrières, l'inscription commémorative, les bannières et les cloches",1898,8 V 145,3,bon,,111
156,,57,,DIDRON E.,Le concours des vitraux de Jeanne d'Arc pour la cathédrale d'Orléans,1894,8 V 145,5,bon,,111
158,,57,,DESNOYERS,L'Iconographie de Jeanne d'Arc,1891,8 V 145,7,bon,,111
161,45,1,4,DU LIS C.,Opuscules historiques relatifs à Jeanne d'Arc dite la pucelle d'Orléans,1856,8 V 146,,bon,,
162,,58,,DU LIS C.,Opuscules historiques relatifs à Jeanne d'Arc dite la pucelle d'Orléans,1856,8 V 146,,bon,,108
163,45,1,4,,Mémorial du Vè centenaire de la réhabilitation de Jeanne d'Arc (1456 - 1956),1958,8 V 147,,bon,,
164,,58,,Comité National de Jeanne d'Arc,Mémorial du Ve centenaire de la réhabilitation de Jeanne d'Arc,1958,8 V 147,,bon,,108
165,45,1,4,MOUCHARD A.,"Les fêtes de la béatification de Jeanne d'Arc, Rome - Orléans - La France",1909,8 V 148,,bon,,
166,,58,,MOUCHARD,"Les fêtes de la béatification de Jeanne d'Arc, Rome - Orléans - La France",1909,8 V 148,,bon,,109
167,45,1,4,CHOUSSY J.-E.,Vie de Jeanne d'Arc,1900,8 V 149,,bon,,
168,,58,,CHOUSSY J.-E.,Vie de Jeanne d'Arc,1900,8 V 149,,bon,,108
171,45,1,4,GEORGES E. (abbé),Jeanne d'Arc considérée au point de vue franco-champenois,1894,8 V 150,,bon,,
172,,58,,GEORGES E. (l'Abbé),Jeanne d'Arc Considérée Au poins de vue franco-champenois,1894,8 V 150,,bon,,108
173,45,1,4,BELON M.-J. et BALME F.,"Jean Bréhal, grand inquisiteur de France et la réhabilitation de Jeanne d'Arc",1893,8 V 151,,bon,,
174,,58,,BREHAL,Grand Inquisiteur de France et la Réhabilitation de Jeanne d'Arc,1893,8 V 151,,bon,,108
175,45,1,4,CANET V.,Jeanne d'Arc et sa mission nationale,1892,8 V 152,,bon,,
176,,58,,CANET V.,Jeanne d'Arc et sa mission nationale,1902,8 V 152,,bon,,108
179,45,1,4,GUILLERMIN J. (abbé),Choix de panégyriques et plans de discours des plus célèbres orateurs contemporains en l'honneur de la vénérable Jeanne d'Arc,1895,8 V 154,,bon,,
180,,58,,GUILLERMIN J.,Choix de panégyriques et plans de discours des plus célèbres orateurs contemporains en l'honneur de la vénérable Jeanne d'Arc,1895,8 V 154,,bon,,108
181,45,1,4,MOUROT V. (abbé),Jeanne d'Arc en face de l'église romaine et de la révolution,1886,8 V 155,,bon,,
182,,58,,MOUROT V. (l'Abbé du Diocèse de St dié),Jeanne d'Arc en face de l'église romaine et de la révolution,1886,8 V 155,,bon,,109
183,45,1,4,LAMY M.,"Jeanne d'Arc, histoire vraie et genèse d'un mythe",1987,8 V 156,,bon,,
184,,58,,LAMY M.,"Jeanne d'Arc, histoire vraie et genèse d'un mythe",1987,8 V 156,,bon,,109
185,45,1,4,CLAUDEL P.,Jeanne d'Arc au bucher,1939,8 V 157,,bon,,
187,45,1,4,PERNOUD R.,"Vie et mort de Jeanne d'Arc, les témoignages du procès de réhabilitation 1450 - 1456",1953,8 V 158,,bon,,
188,,58,,PERNOUD R.,"Vie et mort de Jeanne d'Arc, les témoignages du procès de réhabilitation 1450 - 1456",1953,8 V 158,,bon,,109
189,45,1,4,LE ROLLAND-RENOIR E.,Pourquoi Jeanne d'Arc?,1999,8 V 159,,bon,,
190,,58,,LE ROLLAND-LENOIR E.,Pourquoi Jeanne d'Arc ?,1999,8 V 159,,bon,,109
191,45,1,6,VERGNAUD-ROMAGNESI C.-F.,Notes curieuses dont plusieurs inédites sur les fêtes de la ville d'Orléans dites fêtes de Jeanne d'Arc (1),1862,8 V 16,,bon,,
192,,58,,VERGNAUD-ROMAGNESI,"Notes Curieuses dont plusieurs inédites sur les fêtes de la ville d'Orléans, dites fêtes de Jeanne d'Arc",1862,8 V 16,,bon,,106
193,45,1,4,GREIF J.-J.,Jeanne Darc,1999,8 V 160,,bon,,
194,,58,,GREIF J.-J.,Jeanne Darc,1999,8 V 160,,bon,,109
199,45,1,6,ALLEAUME C. (abbé),Gloire à Jeanne d'Arc,1894,8 V 18,,bon,,
200,45,1,6,D'ANTOINE ASTESAN,"La vierge guerrière: Jeanne de France, fragment d'un poème",1874,8 V 19,,bon,,
201,,58,,ASTESAN A.,La Vierge Guerrière Jeanne de France,1874,8 V 19,,bon,,106
204,45,1,6,LOUBON L.,De Domrémy à Reims,1907,8 V 20,,bon,,
205,,58,,LOUBON L.,De Domrémy à Reims,1907,8 V 20,,bon,,106
208,45,1,6,BLOSSAC C.,Histoire de Jeanne d'Arc,,8 V 22,,bon,,
209,,58,,BOSSAC C.,Histoire de Jeanne d'Arc,Non daté,8 V 22,,bon,,106
210,45,1,6,SCHILLER,La pucelle d'Orléans: Jeanne d'Arc,1887,8 V 23,,bon,,
211,,58,,SCHILLER,Jeanne d'Arc,1887,8 V 23,,bon,,106
212,45,1,6,MARIN P.,La mission de Jeanne d'Arc,1891,8 V 24,,bon,,
213,,58,,MARIN P.,La Mission de Jeanne d'Arc,1891,8 V 24,,bon,,106
214,45,1,6,GASNIER (abbé),"Le siège d'Orléans et la campagne de la Loire en 1429, panégyrique de la vénérable Jeanne d'Arc",1895,8 V 25,,bon,,
215,,58,,GASNIER (l'Abbé),Panégyrique de la vénérable Jeanne d'Arc prononcé dans la cathédrale d'Orléans,1895,8 V 25,,bon,,106
218,45,1,6,BILLARD E.,Jeanne d'Arc,1896,8 V 27,,bon,,
222,45,1,6,LEMIRE C.,"Jeanne d'Arc et le sentiment national (1412 - 1431, 1870 - 18**)",1898,8 V 29,,bon,,
224,45,1,6,DE CONDE A.,La vénérable Jeanne d'Arc,1894,8 V 3,,bon,,
225,,58,,DE CONDE A.,La Vénérable Jeanne d'Arc,1894,8 V 3,,bon,,106
226,45,1,6,VILLIAUME N.,Histoire de Jeanne d'Arc et réfutation des diverses erreurs publiées jusqu'aujourd'hui,1864,8 V 30,,bon,,
227,,58,,VILLIAUME,Histoire de Jeanne Darc et réfutation des diverses erreurs publiées jusqu'aujourd'hui,1864,8 V 30,,bon,,106
231,45,1,6,,Jeanne d'Arc au théatre,,8 V 32,,bon,extraits de différents journaux,
233,45,1,6,POSTEL R.,Jeanne d'Arc,,8 V 33,,bon,,
234,,58,,POSTEL R.,Jeanne d'Arc,Non daté,8 V 33,,bon,,107
235,45,1,6,,Histoire du siège d'Orléans par les Anglais,1885,8 V 34,,bon,,
238,,58,,DEBOUT H.,La bienheureuse Jeanne d'Arc,1907,8 V 35,,bon,,107
239,45,1,6,ARREAT L.,"Domrémi, drame en vers",1874,8 V 36,,bon,,
240,,58,,ARREAT L.,Domremi,1874,8 V 36,,bon,,107
247,45,1,6,CHEVOJON (abbé),Panégyrique de Jeanne d'Arc,1859,8 V 4,,bon,,
248,,58,,CHEVOJON (l'Abbé),Panégyrique de Jeanne d'Arc prononcé dans la cathédrale d'Orléans,1859,8 V 4,,bon,,106
249,45,1,6,ALLARD P.,"Jeanne d'Arc, poème lyrique en trois parties",1886,8 V 40,,bon,,
250,,58,,ALLARD P.,"Jeanne d'Arc, poème lyrique en trois parties",1886,8 V 40,,bon,,106
252,,58,,CORBANI P.,Jeanne d'Arc,Non daté,8 V 41,,bon,,106
253,45,1,6,DE GOMBERVAUX R.,"Jeanne d'Arc: sa mission, son culte",1893,8 V 42,,bon,,
254,,58,,DE GOMBERVAUX R.,"Jeanne d'Arc, Sa Mission - son Culte",1893,8 V 42,,bon,,106
255,45,1,6,FABIE F.,Le mois de Jeanne d'Arc,1892,8 V 43,,bon,extraits de différents journaux,
257,45,1,6,ZELLER B. et LUCHAIRE A.,Charles VII et Jeanne d'Arc,1886,8 V 44,,bon,,
263,45,1,6,,Mirouer des femmes vertueuses,1840,8 V 47,,bon,,
264,,58,,LENGLET DU FRESNOY (l'Abbé),Histoire admirable de Jehanne,1840,8 V 47,,bon,,106
265,45,1,6,DIEULAFOY et GERSIN,"Jeanne d'Arc ou le siège d'Orléans, fait historique, en trois actes, mèlé de Vaudeville",1812,8 V 48,,bon,,
266,,58,,DIEULAFOY et GERSIN,"Jeanne d'Arc, ou le siège d'Orléans, fait historique, en trois actes, mêlé de Vaudevilles",1812,8 V 48,,bon,,106
269,45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, sainteté et patriotisme, drame en trois actes",1879,8 V 5,,bon,,
271,45,1,6,MOUROT V. (abbé),"Jeanne d'Arc, sainteté et patriotisme, drame en cinq actes",1890,8 V 5,bis,bon,,
275,45,1,6,R. G.,"Le départ de Jeanne d'Arc, drame historique en deux actes et en vers",1879,8 V 51,,bon,,
276,,58,,R.G.,"Le départ de Jeanne d'Arc, drame historique en deux actes et en vers",1879,8 V 51,,bon,,107
277,45,1,6,,Bibliographie de Jeanne d'Arc,,8 V 52,,bon,,
279,45,1,6,BAUMGARTEN (docteur),Geschichte von Jungfrau von Orléans,,8 V 53,,bon,,
280,,58,,BAUMGARTEN,Geschichte von Jungfrau von Orléans,,8 V 53,,bon,,107
281,45,1,6,SAUVAGE (abbé),Le monument de Jeanne d'Arc à Bonsecours,1892,8 V 54,,bon,,
282,,58,,SAUVAGE (l'Abbé),Le monument de Jeanne d'Arc à Bonsecours,1892,8 V 54,,bon,,107
283,45,1,6,DE MARTHOLD J.,"La bonne Lorraine, chronique nationale",1908,8 V 55,,bon,,
284,,58,,DE MARTHOLD,La Bonne Lorraine,1908,8 V 55,,bon,,107
285,45,1,6,DUVAL P.-C.-P.,"Jeanne d'Arc ou la délivrance de la France, en 12 chants",1857,8 V 56,,bon,,
286,,58,,DUVAL P.-C.-P.,"Jeanne d'Arc ou la Délivrance de la France, en 12 chants",1857,8 V 56,,bon,,107
287,45,1,6,BERRIAT-SAINT-PRIX,"Jeanne d'Arc, ou coup d'il sur les révolutions de France au tems de Charles VI et de Charles VII, et sur-tout de la pucelle d'Orléans",1817,8 V 57,,bon,,
288,,58,,BERRIAT-SAINT-PRIX,"Jeanne d'Arc ou coup-d'il sur les révolutions de France au temps de Charles VI et de Charles VII, et dur-out de la Pucelle d'Orléans",1817,8 V 57,,bon,,107
292,,58,,ATHANASE RENARD,Jeanne d'Arc récit historique et critique de sa mission,1861,8 V 59,,bon,,107
294,,58,,RENARD AHANASE,"Jeanne d'Arc ou la fille du peuple au Xvè siècle: drame, histoire et critique",1851,8 V 6,,bon,,106
295,45,1,6,BADEL E.,"Jeanne d'Arc en Lorraine: sa venue à Toul, Nancy, Saint-Nicolas, Dieulouard (1)",,8 V 60,,bon,,
296,,58,,BADEL E.,Jeanne d'Arc en Lorraine,Non daté,8 V 60,1,bon,,107
297,,58,,BADEL E.,Les Fêtes de Jeanne d'Arc à Saint-Nicolas de Port,1929,8 V 60,2,bon,,107
298,45,1,6,,Légendes populaires: Jehanne d'Arc,,8 V 61,,bon,,
300,45,1,6,GEOFFROY A.,"Jeanne la Française, récit national",1895,8 V 62,,bon,,
301,,58,,GEOFFROY Z.,Jeanne la Française,1895,8 V 62,,bon,,107
302,45,1,6,VOLTAIRE,uvres complètes de Voltaire tome 11,1784,8 V 63,,bon,,
303,,58,,VOLTAIRE,"uvres complètes de Voltaire, tome onzième : La Pucelle d'Orléans",1784,8 V 63,,bon,,107
304,45,1,6,RENZI A.,"Jeanne d'Arc, sa mission et son martyre, avec le plan du siège d'Orléans et la photographie de la statue équestre de M. Foyatier",1855,8 V 64,,bon,,
305,,58,,RENZI M. A.,"Jeanne Darc, sa mission et son martyre, avec le plan du siège d'Orléans et la photographie de la statue équestre de M. FOYATIER",1855,8 V 64,,bon,,107
308,45,1,6,,Mélanges sur Jeanne d'Arc,,8 V 66,,bon,"extraits de différents journaux, index manuscrit",
310,45,1,6,,Opuscules poétiques (1),XVIIIè siècle,8 V 67,,bon,,
312,45,1,6,MARIE-BERNARD P.,La bienheureuse Jeanne d'Arc: ses vertus d'après le témoignage des Contemporains (1),1909,8 V 68,,bon,,
314,45,1,6,SCHILLER,Monologue de Jeanne d'Arc (1),1818,8 V 69,,bon,,
316,45,1,6,,Les fêtes de Jeanne d'Arc à Orléans,1907,8 V 7,,bon,extraits de différents journaux,
317,,58,,,Fêtes d'Orléans,1907,8 V 7,,bon,,106
318,45,1,6,,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans (imagerie d'Epinal) (1)",,8 V 70,,bon,,
320,45,1,6,MOUROT V. (abbé),Domremy et le monument national de Jeanne d'Arc (9),,8 V 71,,bon,,
322,45,1,5,,Domrémy et Vaucouleurs: Mélanges,,8 V 72,,bon,,
324,45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 1",1817,8 V 73,1,bon,,
325,45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 2",1817,8 V 73,2,bon,,
326,45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 3",1817,8 V 73,3,bon,,
327,45,1,5,LE BRUN DE CHARMETTES,"Histoire de Jeanne d'Arc, surnommée la pucelle d'Orléans tome 4",1817,8 V 73,4,bon,,
332,45,1,5,FEUILLETTE R. P.,Panégyrique de Jeanne d'Arc,1894,8 V 74,,bon,,
333,,58,,FEUILLETTE R.P.,Panégyrique de Jeanne d'Arc prononcé à Notre-Dame pour l'introduction de sa cause de béatification,1894,8 V 74,,bon,,107
334,45,1,5,,Mystères de Jeanne d'Arc,1898,8 V 75,,bon,,
335,,58,,,Mystères de Jeanne d'Arc,18989,8 V 75,,bon,Représenté par ses compatriotes à Ménil-en-Xaintois,107
336,45,1,5,QUICHERAT J.,Histoire du siège d'Orléans et des honneurs rendus à la pucelle,1854,8 V 76,,bon,,
337,,58,,QUICHERAT J.,Histoire du Siége d'Orléans et des Honneurs rendus à la Pucelle,1854,8 V 76,,bon,,107
338,45,1,5,FABRE J.,"Jeanne d'Arc, libératrice de la France",,8 V 77,,bon,,
339,,58,,FABRE J.,Jeanne d'Arc Libératrice de la France,Non daté,8 V 77,,bon,,107
340,45,1,5,PORCHAT J.-J.,La mission de Jeanne d'Arc,1844,8 V 78,,bon,,
342,45,1,5,FRONTON DU DUC (père),"Histoire tragique de Jeanne d'Arc, en cinq actes et vers",1847,8 V 79,,bon,,
348,45,1,5,,Jeanne d'Arc,,8 V 81,,bon,,
349,,58,,KLEIN,Jeanne d'Arc,,8 V 81,,bon,,107
350,45,1,5,D'ABANY,"Jeanne d'Arc, poème en vingt-quatre chants",1823,8 V 82,,bon,,
352,45,1,5,ROY J.-J.-E.,Histoire de Jeanne d'Arc dite la pucelle d'Orléans,1862,8 V 83,,bon,,
353,,58,,ROY J.-J.-E.,Histoire de Jeanne d'Arc dite la pucelle d'Orléans,1862,8 V 83,,bon,,107
