id,cote,tome,type,auteur,titre,couverture,langue,edition,datation,contenu,etat,notes,emplacement
15,4 Z 1,15,Manuscrit imprimé,Me de Mirbeck,"Réponse pour les dames du chapitre de Poussay, à la requête de M; Labbé, comte de Rouvroy et de M. de Fussey.",Papier cartonné,Français,J. G. Clousier,"Tuesday, November 08, 1904","Réponse pour les dames du chapitre de Poussay, à la requête de M; Labbé, comte de Rouvroy et de M. de Fussey.",Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
16,4 Z 1,16,Manuscrit imprimé,Henry,Consultation pour Claude François Labbé.,Papier cartonné,Français,"Nancy, MM. Scolastique",10 mai 1777,Consultation pour Claude François Labbé.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
17,4 Z 1,17,Manuscrit imprimé,Roxard de la Salle,Analyse de la cause d'entre le comte de Coussey et le comte de Rouvroy.,Papier cartonné,Français,"Nancy, P. Barbier",20 juillet 1777,Analyse de la cause d'entre le comte de Coussey et le comte de Rouvroy.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
18,4 Z 1,18,Manuscrit imprimé,Rheyne,Mémoire à consulter pour Charles Labbé contre Claude François Labbé.,Papier cartonné,Français,"Nancy, Thomas",12 juillet 1777,Mémoire à consulter pour Charles Labbé contre Claude François Labbé.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
19,4 Z 1,19,Manuscrit imprimé,Rozières,Mémoire Mauljean contre Coussey.,Marron,Français,"Nancy, C. S. Lamort","Saturday, November 19, 1904",Mémoire Mauljean contre Coussey.,Correct,"Factum 4 Z 1 ""1709-1786. Poussay, Labbé, Rouvroy, Mauljean, Bassompierre-Eltz""",Archives départementales
20,4 Z 2,1,Manuscrit imprimé,Maultrot,Mémoire à consulter pour Charles Joseph Gabriel de Beauchamps de Bermont.,Papier cartonné,Français,Demonville,4 octobre 1780,Mémoire à consulter pour Charles Joseph Gabriel de Beauchamps de Bermont.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
21,4 Z 2,2,Manuscrit imprimé,De Beauchamps,"Précis pour Charles Joseph Gabriel de Beauchamps, dit de Bermont.",Papier cartonné,Français,"Nancy, Veuve Leclerc",28 mars 1781,"Précis pour Charles Joseph Gabriel de Beauchamps, dit de Bermont.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
22,4 Z 2,3,Manuscrit imprimé,François de Serocourt,Mémoire pour Charles François de Vigneron contre Jean Baptiste Verdet.,Papier cartonné,Français,"Nancy, H. Haener",23 janvier 1781,Mémoire pour Charles François de Vigneron contre Jean Baptiste Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
23,4 Z 2,4,Manuscrit imprimé,Collenel,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Papier cartonné,Français,,31 juillet 1781,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
24,4 Z 2,5,Manuscrit imprimé,Prugnon,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Papier cartonné,Français,"Nancy, C. S. Lamort",26 mai 1782,"Mémoire pour Me Denis, curateur établi au sieur Charles Joseph Gabriel de Beauchamps.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
25,4 Z 2,6,Manuscrit imprimé,Malriat,Preuves de l'état du sieur de Beauchamps.,Papier cartonné,Français,"Nancy, Veuve Leclerc",28 mai 1782,Preuves de l'état du sieur de Beauchamps.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
26,4 Z 2,7,Manuscrit imprimé,Verdet,Mémoire pour le Me Verdet contre de Vigneron.,Papier cartonné,Français,,22 mai 1781,Mémoire pour le Me Verdet contre de Vigneron.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
27,4 Z 2,8,Manuscrit imprimé,Dommary,"Précis pour servir à la suite du mémoire de Me Verdet, imprimé le 22 mai 1781.",Papier cartonné,Français,,27 juillet 1782,"Précis pour servir à la suite du mémoire de Me Verdet, imprimé le 22 mai 1781.",Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
28,4 Z 2,9,Manuscrit imprimé,Popot,Mémoire pour M. de Vigneron contre Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Charlot",1er août 1782,Mémoire pour M. de Vigneron contre Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
29,4 Z 2,10,Manuscrit imprimé,Verdet,Post-scriptum au Précis de Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Leclerc",20 août 1782,Post-scriptum au Précis de Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
30,4 Z 2,11,Manuscrit imprimé,Mollevaut,Plaidoyer de Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Leclerc",22 août 1782,Plaidoyer de Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
31,4 Z 2,12,Manuscrit imprimé,Brouet,Mémoire à consulter pour Me Denis contre Me Verdet.,Papier cartonné,Français,"Nancy, Veuve Charlot",24 janvier 1783,Mémoire à consulter pour Me Denis contre Me Verdet.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
32,4 Z 2,13,Manuscrit imprimé,Cognel,Echantillon de la cause d'entre les sieurs Anthoine l'Ainé et d'Auxonne et les sieurs et Dame de Bacourt.,Papier cartonné,Français,"Nancy, C. S. Lamort",9 août 1782,Echantillon de la cause d'entre les sieurs Anthoine l'Ainé et d'Auxonne et les sieurs et Dame de Bacourt.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
33,4 Z 2,14,Manuscrit imprimé,Mauljean,Mémoire pour le sieur Dominique Marc Anthoine contre Marc Hyacinthe Anthoine de Bacourt.,Papier cartonné,Français,,21 janvier 1783,Mémoire pour le sieur Dominique Marc Anthoine contre Marc Hyacinthe Anthoine de Bacourt.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
34,4 Z 2,15,Manuscrit imprimé,F. Aerts,Mémoire pour le sieur François Aerts contre les sieurs Dominique Marc Antoine l'Ainé.,Papier cartonné,Français,"Nancy, Veuve Leclerc",23 janvier 1783,Mémoire pour le sieur François Aerts contre les sieurs Dominique Marc Antoine l'Ainé.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
35,4 Z 2,16,Manuscrit imprimé,Pierson,Observations pour le sieur Anthoine fils contre les sieur Anthoine l'ainé et d'Auxonne.,Papier cartonné,Français,"Nancy, Veuve Leclerc","Thursday, November 17, 1904",Observations pour le sieur Anthoine fils contre les sieur Anthoine l'ainé et d'Auxonne.,Correct,"Factum 4 Z 2 ""1780-1783. Verdet, Denis, Beauchamps, Antoine, Bacourt""",Archives départementales
36,4 Z 3,1,Manuscrit imprimé,M. Fournier,"Factum pour François, comte de Gourcy, contre Pierre de Bainville.",Papier cartonné,Français,,"Monday, September 05, 1904","Factum pour François, comte de Gourcy, contre Pierre de Bainville.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
37,4 Z 3,2,Manuscrit imprimé,,"Mémoire pour Antoine Clérialde de Choiseul-Beaupré, contre les sieurs de Ligniville, de la chataigneraie et de Gourcy. ",Papier cartonné,Français,,6 avril 1761,"Mémoire pour Antoine Clérialde de Choiseul-Beaupré, contre les sieurs de Ligniville, de la chataigneraie et de Gourcy. ",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
38,4 Z 3,3,Manuscrit imprimé,,Réponse pour les sieurs Honoré de Ligniville et François Ernest de Lapierre au mémoire de Antoine Clériade de Choiseul-Beaupré.,Papier cartonné,Français,"Nancy, Thomas",27 juin 1761,Réponse pour les sieurs Honoré de Ligniville et François Ernest de Lapierre au mémoire de Antoine Clériade de Choiseul-Beaupré.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
39,4 Z 3,4,Manuscrit imprimé,M. Duhomme,"Mémoire signifié pour George Remi Verdet contre Antoine Clériadus, marquis de Choiseul-Beaupré.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",8 février 1772,"Mémoire signifié pour George Remi Verdet contre Antoine Clériadus, marquis de Choiseul-Beaupré.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
40,4 Z 3,5,Manuscrit imprimé,Grandjean,"Précis pour Antoine Clériadus, marquis de Choiseul-Beaupré contre Me Bron.",Papier cartonné,Français,"Nancy, J. B. Hiacinthe Leclerc",5 décembre 1774,"Précis pour Antoine Clériadus, marquis de Choiseul-Beaupré contre Me Bron.",Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
41,4 Z 3,6,Manuscrit imprimé,,Mémoire et consultation pour la Dame comtesse de Choiseul et pour les chanoinesses du chapitre de Saint Louis de Metz.,Papier cartonné,Français,,"Monday, November 14, 1904",Mémoire et consultation pour la Dame comtesse de Choiseul et pour les chanoinesses du chapitre de Saint Louis de Metz.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
42,4 Z 3,7,Manuscrit imprimé,Me Chassel,Mémoire pour le chapitre de Bouxières contre demoiselle de La Cour en Voivre.,Marron,Français,"Nancy, Veuve Leclerc",,Mémoire pour le chapitre de Bouxières contre demoiselle de La Cour en Voivre.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
43,4 Z 3,8,Manuscrit imprimé,Me de Nicéville,Plaidoyer pour Mademoiselle de La Tour contre le chapitre de Bouxières.,Papier cartonné,Français,"Nancy, L. Beaurain",,Plaidoyer pour Mademoiselle de La Tour contre le chapitre de Bouxières.,Correct,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
44,4 Z 3,9,Manuscrit imprimé,,"Mémoire pour les Dames abbesse, doyenne, chanoinesses et chapitre de l'insigne église collégiale et séculière de Saint Pierre de Remiremont contre le sieur Charles Antoine Royer.",Papier,Français,"Saint-Mihiel, Lambert Goffin",,"Mémoire pour les Dames abbesse, doyenne, chanoinesses et chapitre de l'insigne église collégiale et séculière de Saint Pierre de Remiremont contre le sieur Charles Antoine Royer.",Mauvais,"Factum 4 Z 3 ""1716-1762. Chap. de Bouxière, Choiseul-Beaupré, Gourcy, Ligniville""",Archives départementales
45,4 Z 4,13,Manuscrit imprimé,,Précis pour le comte de Morvilliers contre les habitants de Blevaincourt.,Papier cartonné,Français,"Nancy, Pierre Antoine",20 août 1761,Précis pour le comte de Morvilliers contre les habitants de Blevaincourt.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
46,4 Z 4,14,Manuscrit imprimé,M. de Beze de Lys,Mémoire signifié pour le comte de Morvilliers seigneur de Vrécourt contre les habitants de Robécourt.,Papier cartonné,Français,Veuve Paulus-du-Mesnil,,Mémoire signifié pour le comte de Morvilliers seigneur de Vrécourt contre les habitants de Robécourt.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
47,4 Z 4,15,Manuscrit imprimé,,Mémoire à consulter pour Charles Antoine marquis de Spada.,Papier cartonné,Français,"Nancy, Sébastien Bachot",21 juillet 1773,Mémoire à consulter pour CharlesCharles Antoine marquis de Spada.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
48,4 Z 4,16,Manuscrit imprimé,Olry,Consultation sur le testament ducomte de Morvilliers.,Papier cartonné,Français,"nancy, Leseure",13 août 1773,Consultation sur le testament ducomte de Morvilliers.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
49,4 Z 4,17,Manuscrit imprimé,M. Husson,"Mémoire pour Louis marquis de Croismare et François Ulrich, comte de Chamissot contre Charles Antoine marquis de Spada.",Papier cartonné,Français,"Nancy, Pierre Antoine",16 août 1773,"Mémoire pour Louis marquis de Croismare et François Ulrich, comte de Chamissot contre Charles Antoine marquis de Spada.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
50,4 Z 4,1,Manuscrit imprimé,Pasquier,Mémoire pour le baron de Lubert contre Marie Magdelaine Arnoud de Prémont.,Papier cartonné,Français,Demonville,"Tuesday, November 15, 1904",Mémoire pour le baron de Lubert contre Marie Magdelaine Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
51,4 Z 4,2,Manuscrit imprimé,Arnould de Prémont,Mémoire pour Joseph Sigisbert Arnoud de Prémont contre Mdeleine Félicité de Mortal.,Papier cartonné,Français,"Nancy, P. Barbier",4 juillet 1784,Mémoire pour Joseph Sigisbert Arnoud de Prémont contre Mdeleine Félicité de Mortal.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
52,4 Z 4,3,Manuscrit imprimé,,Mémoire et consultation pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Papier cartonné,Français,Quillau,14 décembre 1785,Mémoire et consultation pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
53,4 Z 4,4,Manuscrit imprimé,Arnould de Prémont,Précis pour le sieur de Prémont.,Papier cartonné,Français,"Nancy, P. Barbier",26 décembre 1785,Précis pour le sieur de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
54,4 Z 4,5,Manuscrit imprimé,M. de la Neuveville,"Précis pour Marguerite Catherine le Febvre de Saint-Germain, douainière du sieur de Mortal.",Papier cartonné,Français,"Nancy, Veuve Leclerc",22 janvier 1786,"Précis pour Marguerite Catherine le Febvre de Saint-Germain, douainière du sieur de Mortal.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
55,4 Z 4,6,Manuscrit imprimé,Bigot de Fréameneu,Consultation pour Marguerite Félicité de Mortal.,Papier cartonné,Français,L. Jorry,5 décembre 1788,Consultation pour Marguerite Félicité de Mortal.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
56,4 Z 4,7,Manuscrit imprimé,Jacquemin,Mémoire pour Joseph Sigisbert Arnould de Prémont contre Madeleine Félicité de Mortal. ,Papier cartonné,Français,"Nancy, P. Barbier",30 avril 1789,Mémoire pour Joseph Sigisbert Arnould de Prémont contre Madeleine Félicité de Mortal. ,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
57,n.c.,,Manuscrit imprimé,,Arnould de Prémont baron de Grey contre Madeleine Félicité de Mortal.,Papier cartonné,Français,,30 avril 1789,Arnould de Prémont baron de Grey contre Madeleine Félicité de Mortal.,Double incomplet,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
58,4 Z 4,8,Manuscrit imprimé,Me Philbert,Mémoire pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Papier cartonné,Français,,19 et 23 mai 1789,Mémoire pour Madeleine Félicité de Mortal contre Joseph Sigisbert Arnoud de Prémont.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
59,4 Z 4,9,Manuscrit imprimé,M. Thieriet,Réponse du sieur de Prémont aux mémoire et plaidoyer imprimés de son épouse.,Papier cartonné,Français,"Nancy, P. Barbier",3 juin 1789,Réponse du sieur de Prémont aux mémoire et plaidoyer imprimés de son épouse.,Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
60,4 Z 4,10,Manuscrit imprimé,M. Renard de Bel-Air,"Réponse au dernier mémoire du sieur de Prémont, contre son épouse.",Papier cartonné,Français,"Nancy, H. Haener",4 juin 1789,"Réponse au dernier mémoire du sieur de Prémont, contre son épouse.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
61,4 Z 4,11,Manuscrit imprimé,,"Réplique anticipée au plaidoyer de Me Thieriet, eu la cause d'entre les sieurs et Dame de Prémont.",Papier cartonné,Français,,,"Réplique anticipée au plaidoyer de Me Thieriet, eu la cause d'entre les sieurs et Dame de Prémont.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
62,4 Z 4,12,Manuscrit imprimé,M. Thieriet,"Réponse de M. de Prémont, aux deux mémoires de son épouse, intitulés: Réplique anticipée et précis.",Papier cartonné,Français,"Nancy, P. Barbier",,"Réponse de M. de Prémont, aux deux mémoires de son épouse, intitulés: Réplique anticipée et précis.",Correct,"Factum 4 Z 4 ""1761-1790. Mortal-Prémont, Morvilliers""",Archives départementales
63,4 Z 5,1,Manuscrit imprimé,Jacquemin,Précis pour l'insigne chapitre de Remiremont contre la Dame de Raigecourt.,Papier cartonné,Français,"Nancy, Veuve Leclerc",20 décembre 1780,Précis pour l'insigne chapitre de Remiremont contre la Dame de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
64,4 Z 5,2,Manuscrit imprimé,Raigecourt,Précis pour la comtesse de Raigecourt.,Papier cartonné,Français,"Nancy, H. Haener",29 décembre 1780,Précis pour la comtesse de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
65,4 Z 5,3,Manuscrit imprimé,Roederer,Mémoire pour la comtesse de Raigecourt.,Papier cartonné,Français,"Metz, Jean Baptiste Collignon",10 février 1781,Mémoire pour la comtesse de Raigecourt.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
66,4 Z 5,4,Manuscrit imprimé,M. de Nicéville,"Mémoire pour le marquis de raigecourt Gournay contre la Dame, comtesse de Lenoncourt.",Papier cartonné,Français,"Nancy, Pierre Antoine",7 mars 1771,"Mémoire pour le marquis de raigecourt Gournay contre la Dame, comtesse de Lenoncourt.",Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
67,4 Z 5,5,Manuscrit imprimé,Jacquemin,Réponse de la Dame de Lenoncourt au mémoire du marquis de Gournay.,Papier cartonné,Français,"Nancy, Pierre Antoine",16 mars 1772,Réponse de la Dame de Lenoncourt au mémoire du marquis de Gournay.,Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
68,4 Z 5,6,Manuscrit imprimé,M. de Vaucresson,"Mémoire pour Charles Jérome, comte de Raigecourt, contre les prieurs et religieux de l'abbaye de Saint-Pierre-aux-Monts, de Châlons.",Papier cartonné,Français,Ve Herissant,,"Mémoire pour Charles Jérome, comte de Raigecourt, contre les prieurs et religieux de l'abbaye de Saint-Pierre-aux-Monts, de Châlons.",Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
69,4 Z 5,7,Manuscrit imprimé,Me J. G. F. Chassel,"Mémoire entre Charles Jérome, comte de Raigecourt et la Dame née comtesse de Montrichier, son épouse.",Papier cartonné,Français,"Nancy, J. Haener",2 août 1754,"Mémoire entre Charles Jérome, comte de Raigecourt et la Dame née comtesse de Montrichier, son épouse.",Correct,"Factum 4 Z 5 ""1706-1771. Heudicourt de Lenoncourt, Raigecourt, Bressey""",Archives départementales
