id,epi,travee,tablette,cote,ordre,lieu,format,auteur,titre,annee,tome,etat,commentaire
33,1,4,3,4 A 27,5,,in-fol.,BAER Joseph ,Bibliotek George Nestle-John Frankfurt am Main (1839-1895),1931,,bon,contient 15 documents
34,1,4,3,4 A 27,6,,in-fol.,BAER Joseph ,BIbliotek Friedrich Geiger in Neu-Ulm,1931,,bon,contient 15 documents
35,1,4,3,4 A 27,7,,in-fol.,CARTIER,Vente livres anciens argenterie Faïences et porcelaines anciennes,1931,,bon,contient 15 documents
36,1,4,3,4 A 27,8,,in-fol.,anonyme,Inventaire des documents Vannérus appartenant à l'institut archéologique du Luxembourg,1906,,bon,contient 15 documents
37,1,4,3,4 A 27,9,,in-fol.,GOFFINET H.,Le manuscrit dit de Gilles d'Orval ,1874,,bon,contient 15 documents
38,1,4,3,4 A 27,10,,in-fol.,VANNERUS J.,Au sujet de la publication de l'histoire du Luxembourg de Bertholet,1899,,bon,contient 15 documents
39,1,4,3,4 A 27,11,,in-fol.,DELISLE Léopold,Fac-similé de livres copiés et enluminés pour le roi Charles V,1903,,bon,contient 15 documents
40,1,4,3,4 A 27,12,,in-fol.,CASTEL, Catalogue de la bibliothèque de Kurt Wolff vente à Cannes le 28 décembre 1934,1934,,bon,contient 15 documents
41,1,4,3,4 A 28,,,in-fol.,"HENNEZEL D'ORMOIS, de",Les bibliophiles du pays Laonnois,1931,,bon,
42,1,4,3,4 A 29,,,in-fol.,"MAUBY, Alfred",Rapport adressé à M. le ministre de l'instruction publique des cultes et des beaux-arts sur les archives nationales,1878,,bon,
43,1,4,3,4 A 32,,,in-fol.,"RIVIERE, Georges Henri",La muséologie,1989,,bon,
44,1,4,3,4 A 33,,,in-fol.,"ROBERT, Edmond des","Tableau systématique des sceaux de Lorraine, des pays Rhenans et autres",1952,,bon,
45,1,4,3,4 A 34,,,in-fol.,anonyme,Catalogue de la bibliothèque Lorraine de Jean-Julien Barbe à Metz,s.d.,,bon,
46,1,4,3,4 A 35,,,in-4,hotel drouot,Manuscrits et correspondance de Montesquieu,1939,,bon,
47,1,4,3,4 A 36,,,in-4,anonyme,Catalogue de la bibliothèque du comte Castaldi (manuscrit),1849,,bon,
48,1,4,3,4 A 37,1,,in-4,OLIVIER E. Dr.,Edmond Des Robert,1950,,bon,contient 10 documents
49,1,4,3,4 A 37,2,,in-4,DELALAIN Paul,Les publications en dépôt à l'imprimerie nationale il y a cent ans,1892,,bon,contient 10 documents
50,1,4,3,4 A 37,3,,in-fol.,anonyme,"Statuts et réglemens pour les maîtres cartiers, papetiers, faiseurs de cartes, tarots, feuillets et cartons",1764,,bon,contient 10 documents
51,1,4,3,4 A 37,4,,in-8,collectif,Les fabricants de cartes de la ville de Paris,1816,,bon,contient 10 documents
52,1,4,3,4 A 37,5,,in-4,collectif,Arrest du conseil d'estat du roy portant règlement pour les sortes de papiers,1739,,bon,contient 10 documents
53,1,4,3,4 A 37,6,,in-4,BOIVIN Léon,La technique du livre illustré moderne,1917,,bon,contient 10 documents
54,1,4,3,4 A 37,7,,in-4,collectif,La gravure sur bois,1917,,bon,contient 10 documents
55,1,4,3,4 A 37,8,,in-4,PORCABEUF A.,L'impression en taille-douce,1917,,bon,contient 10 documents
56,1,4,3,4 A 37,9,,in-4,MAGNIER H.,La reliure et le cartonnage,1917,,bon,contient 10 documents
57,1,4,3,4 A 37,10,,in-4,JAMAS Abel,La gravure au burin,1917,,bon,contient 10 documents
58,1,4,3,4 A 38,,,in-4,"BRIQUET, C. M.","Les filigranes, dictionnaire historique des marques du papier (tome premier)",1907,,bon,
59,1,4,3,4 A 38,,,in-4,"BRIQUET, C. M.","Les filigranes, dictionnaire historique des marques du papier (tome deuxième)",1907,,bon,
60,1,4,3,4 A 38,,,in-4,"BRIQUET, C. M.","Les filigranes, dictionnaire historique des marques du papier (tome troisième)",1907,,bon,
61,1,4,3,4 A 38,,,in-4,"BRIQUET, C. M.","Les filigranes, dictionnaire historique des marques du papier (tome quatrième)",1907,,bon,
62,1,4,3,4 A 39,,,in-4,"VACHON, Marius",Les arts et les industries du papier en France,1871-1894,,bon,
63,1,4,3,4 A 39,,,in-fol.,"VACHON, Marius",Les arts et les industries du papier en France,1871-1894,,bon,
64,1,4,3,4 A 40,,,in-fol.,collectif,Musée rétrospectif de la classe 88,1900,,bon,
65,1,4,3,4 A 41,,,in-fol.,anonyme,L'Ymagier,1894-1895,,bon,
66,1,4,3,4 A 42,,,in-fol.,anonyme,Album typographique ,1840,,bon,
67,1,4,3,4 A 43,,,in-fol.,"MENDEL, Charles (dir.) et BRUNEL, Georges (dir.)",Le livre à travers les âges,1894,,bon,
68,1,4,3,4 A 44,,,in-fol.,anonyme,Histoire de l'invention de l'imprimerie par les monuments,1840,,bon,"1,2 m"
69,1,4,3,4 A 45,,,in-fol.,collectif,Musée rétrospectif de la classe II,1900,,bon,
70,1,4,3,4 A 47,,,in-fol.,"DELALAIN, P.",Inventaire des marques d'imprimeurs et de libraires de la collection du cercle de la librairie,1892,,bon,
71,1,4,3,4 A 48,,,in-fol.,L'art nouveau,Exposition internationale du livre moderne,1896,,bon,
72,1,4,3,4 A 49,,,in-fol.,CHOQUET,Rapprts du jury international,1891,,bon,
73,1,4,3,4 A 50,,,in-fol.,anonyme,L'industrie du papier,s.d.,,bon,
74,1,4,3,4 A 51,,,in-fol.,"GRAND-CARTERET, John","Vieux papiers, vieilles images",1896,,bon,
75,1,4,3,4 A 52,,,in-4,"DRIOUX, abbé",Ornements typographiques,1880,,bon,
76,1,4,3,4 A 53,,,in-4,"HEITZ, Paul",Les filigranes des papiers contenus dans les archives de la ville de Strasbourg,1902,,mauvais,
77,1,4,3,4 A 54,,,in-4,"MAILLARD, Léon",Menus & Programmes illustrés,1898,,bon,
78,1,4,3,4 A 55,,,in-4,"BOPPE, Auguste et BONNET, Raoul",Les vignettes emblématiques sous la Révolution,1911,,bon,
79,1,4,3,4 A 56,,,in-4,"MAINDRON, Ernest",Les affiches illustrées,1886,,bon,
80,1,4,3,4 A 57,,,in-4,"MAINDRON, Ernest",Les programmes illustrés,1897,,bon,
81,1,4,3,4 A 58,,,in-fol.,anonyme,Les illustrateurs du livre,1892,,bon,
82,1,4,3,4 A 59,,,in-fol.,collectif,L'art du livre,1914,,bon,
83,1,4,3,4 A 60,,,in-fol.,"GRAND-CARTERET, John",Papetrie & papetiers de l'ancien temps,1913,,bon,
84,1,4,4,4 A 62,,,in-fol.,"ROCHE LACARELLE, S. de la",Catalogue de la bibliothèque de M. le baron S. de la Roche Lacarelle,1888,,bon,
85,1,4,4,4 A 66,,,in-fol.,LESNE,Epitre à Thouvenin,1823,,bon,
86,1,4,4,4 A 67,,,in-fol.,"BERALDI, Henri",La reliure du XIXè siècle (première partie),1895,,bon,
87,1,4,4,4 A 67,,,in-4,"BERALDI, Henri",La reliure du XIXè siècle (deuxième partie),1895,,bon,
88,1,4,4,4 A 67,,,in-4,"BERALDI, Henri",La reliure du XIXè siècle (troisième partie),1896,,bon,
89,1,4,4,4 A 67,,,in-4,"BERALDI, Henri",La reliure du XIXè siècle (quatrième partie),1897,,bon,
90,1,4,4,4 A 68,,,in-4,MARIUS et MICHEL,La reliure française commerciale et industrielle,1881,,bon,
91,1,4,4,4 A 70,,,in-4,"BELVILLE, Eugène",Le cuir dans la décoration moderne,1902,,bon,
92,1,4,4,4 A 71,,,in-4,"BOSQUET, Em.",Barèmes ou devis de travaux de reliure,1892,,bon,
93,1,4,4,4 A 72,,,in-4,"MOREAU, Georges (dir.)",La revue encyclopédique,1894,,bon,
94,1,4,4,4 A 73,,,in-4,collectif,La reliure,1896,,bon,
95,1,4,4,4 A 74,,,in-4,collectif,Le studio,1899-1900,,bon,
96,1,4,4,4 A 75,,,in-4,"WHEATLEY, Henry B.",Les reliures remarquables du musée britanique,1889,,bon,
97,1,4,4,4 A 76,,,in-4,"GUEDON, C. (dir.)",Revue française de la papeterie & de l'imprimerie,1890,,bon,"1,18 m"
98,1,4,4,4 A 77,,,in-fol.,,[dossier],,,bon,contient 3 documents
99,1,4,4,4 A 78,,,in-fol.,hotel drouot,Cent reliures d'art executées sur des éditions de grand luxe,1902,,bon,
100,1,4,4,4 A 79,,,in-4,hotel drouot,Bibliothèque de feu Mr E. Massicot,1903,,bon,
101,1,4,4,4 A 80,,,in-fol.,,[reliure de documents] Catalogue de fers à dorer,,,bon,
102,1,4,4,4 A 81,,,in-4,collectif,Le studio,1898-9,,bon,
103,1,4,4,4 A 82,,,in-fol.,collectif,L'épreuve (plat de Camille Martin),1894,,bon,
104,1,4,4,4 A 83,,,in-fol.,collectif,L'art du cuir,1900,,bon,
105,1,4,4,4 A 84,,,in-fol.,"LANGLOIS, Christine",Répertoire de l'ethnologie de la France 1990,1990,,bon,
106,1,4,4,4 A 86,,,in-fol.,"GID, Denise",Catalogue des reliures françaises estampées à froid de la bibliothèque mazarine (tome I),1984,1,bon,
107,1,4,4,4 A 86,,,in-fol.,"GID, Denise",Catalogue des reliures françaises estampées à froid de la bibliothèque mazarine (tome II),1984,2,bon,
108,1,4,4,4 A 87,,,in-fol.,anonyme,Répertoire bibliographique des livres imprimés en France au seizième siècle (tables),1980,,bon,
109,1,4,4,4 A 87,,,in-fol.,anonyme,Répertoire bibliographique des livres imprimés en France au seizième siècle (additions et corrections),1979,,bon,
110,1,4,4,4 A 87,,,in-4,"ARNOULT, Jean-Marie",Répertoire bibliographique des livres imprimés en France au seizième siècle ,1975,,bon,
111,1,4,4,4 A 87,,,in-4,collectif,Répertoire bibliographique des livres imprimés en France au seizième siècle ,1983,,bon,
112,1,4,4,4 A 87,,,in-4,"MULLER, Jean",Répertoire bibliographique des livres imprimés en France au seizième siècle (fascicule hors série),1970,,bon,
113,1,4,4,4 A 88,,,in-8,"GILISSEN, L.",Prolégomènes à la codicologie,1977,,bon,
114,17,66,1,4 A 17,,,in-4,collectif,Boite : commentaire illustré du musée lorraine (brochures) et journaux  et affiches ,1982,,bon,
115,1,4,2,4 A 7,,,in-8,"WIENER, Lucien",Etudes sur les filigranes des papiers lorrains,1893,,bon,
116,8,31,2,4 A 7,,,in-4,WIENER Lucien,Etude sur les filigranes des papiers lorrains (Wiener),1893,,bon,
117,1,4,2,4 A 8,,,in-8,"GUIGARD, Joannis",Armorial du bibliophile (tome I),1870-1873,,bon,
118,1,4,2,4 A 9,,,in-8,"MOINE, le",Diplomatique-partique ou traité de l'arrangement des archives et trésors des chartes,1765,,bon,
119,1,4,5,4 B 10,,,in-4,"GUBERNATIS, A. de",Dictionnaire international des écrivains du jour,1891,,bon ,
120,1,4,5,4 B 10,,,in-4,"GUBERNATIS, A. de",Dictionnaire international des écrivains du jour,1888,,bon ,
121,1,4,5,4 B 11,,,in-4,SAINT-LAMBERT,Les saisons: Poëme,1796,,bon ,
122,1,4,5,4 B 12,,,in-4,"GUILBERT, N. J. L.",oeuvres complètes de Guilbert,1801,,bon ,
123,1,4,5,4 B 13,,,in-4,"Salle Jean-Baptiste, J. B.",Charlotte Corday: tragédie en cinq actes et en vers,1864,,bon ,
124,1,4,5,4 B 14,,,in-4,"POTTECHER, Maurice",théâtre du peuple: premier spectacle: Le diable marchand de goutte,1895,,bon ,
125,1,4,5,4 B 15,,,in-4,Collectif,Le prisme: encyclopédie morale du dix-neuvième siècle,1841,,bon ,
126,1,4,5,4 B 16,1,,in-4,ROY Hippolyte,Documents - Un dîner littéraire à Nancy 3 mars 1925,1925,[d],bon ,
127,1,4,5,4 B 16,2,,in-4,BLANC Abbé,Notice biographique dédiée à Mgr Menjaud évêque de Nancy et de Toul,1857,[d],bon ,
128,1,4,5,4 B 16,3,,in-4,ROUSSEL Emile & GUGENHEIM Georges,"Nancy, tout le monde descend ! Revue en 5 actes",1880,[d],bon ,
129,1,4,5,4 B 16,4,,in-4,Collectif,Programme officiel Monument commémoratif de la Bataille de Nancy 13 juillet 1914 (illustration Prouvé),1914,[d],bon ,
130,1,4,5,4 B 16,5,,in-4,Anonyme,Chanson nouvelle au passage de Mesdames de France Adelaîde et Victoire 4 juillet 1761,1761,[d],bon ,
131,1,4,5,4 B 16,6,,in-4,PALISSOT DE MONTENOY,Divertissement le 26 novembre 1755 jour de la dédicace de la statue de sa Majesté,1755,[d],bon ,
132,1,4,5,4 B 16,7,,in-4,Anonyme,Stanislai primi Poloniae regis Lotharingiae Barri Ducis Tumulus,1766,[d],bon ,
133,1,4,5,4 B 16,8,,in-4,Anonyme,Inscription sur la mort de Stanislas le bienfaisant,1766,[d],bon ,
134,1,4,5,4 B 16,9,,in-4,anonyme,Complainte sur la mort de Stanislas,1766,[d],bon ,
135,1,4,5,4 B 16,10,,in-4,anonyme,"In obitum Stanislai I,  Elegia",1766,[d],bon ,
136,1,4,5,4 B 16,11,,in-4,CALLOT F.J.,Stances funèbres sur la mort de François de Lorraine empereur premier du nom,1765,[d],bon ,
137,1,4,5,4 B 16,12,,in-4,MOLLEVAUT C.L.,La postérité - Ode,1840,[d],bon ,
138,1,4,5,4 B 16,13,,in-4,anonyme,Epitre à M de La Galaizière Intendant de Lorraine,1770,[d],bon ,
139,1,4,5,4 B 16,14,,in-4,CHEVRIER,Epitre à un homme singulier sur la bataille de Bergen,1799,[d],bon ,
140,1,4,5,4 B 16,15,,in-4,Breye,Sur le retour de son altesse royale - ode (Léopold),1698,[d],bon ,
141,1,4,5,4 B 16,17,,in-4,BARBIER DE MONTAULT Xavier Mgr,Etude sur les tropes de M. Léon Gautier,1893,[d],bon ,
142,1,4,5,4 B 16,18,,in-4,JARRY E.,Deux chansons normandes sur le siège d'Orléans et la mort de Salisbury,1894,[d],bon ,
143,1,4,5,4 B 16,19,,in-4,anonyme,La grande danse macabre des hommes et des femmes réimpression,1862,[d],bon ,
144,1,4,5,4 B 16,20,,in-4,GERSON Jean,La danse macabre 1425 (introduction de l'abbé Dufour),1891,[d],bon ,
145,1,4,5,4 B 16,21,,in-4,BRIGNON Marc,La forêt du Pays de Salm (Mémoire de Maitrise),1985,[d],bon ,
146,1,4,5,4 B 16,22,,in-4,CUENOT R.,Chansons populaires lorraines - la légende de Saint Nicolas,1992,[d],bon ,
147,1,4,5,4 B 17,,,in-4,"GERARD, J.-A.",Satires de Perse,1870,,bon ,
148,1,4,5,4 B 17,,,in-4,"BONNET, Jean-Marie et LANHER, Jean",George Chepfer,1983,,bon ,
149,1,4,5,4 B 18,,,in-4,"BERTRAND, Louis",Pépète et Balthasar: moeurs algériennes,1925,,bon ,
150,1,4,5,4 B 18,,,in-4,"BERTRAND, Louis",Pépète et Balthasar: moeurs algériennes,1925,,bon ,
151,1,4,5,4 B 19,,,in-4,"FRANKLIN, Alfred","Dictionnaire historique des arts, métiers et professions exercés dans paris depuis le treizième siècle",1906,,bon ,
152,1,4,5,4 B 20,,,in-4,"BEURDELEY, Michel & MAUBEUGE, Michèle",Edmond de Goncourt chez lui,1991,,bon ,
153,1,4,5,4 B 21,,,in-4,"CHEPFER, George",La dame de Saizerais,1993,,bon ,
154,1,4,5,4 B 23,,,in-4,"Bibliothèque nationale de France & GITEAU, Cécile (dir.)",Les plus beaux manuscrits du théâtre Français,1996,,bon ,
155,1,4,5,4 B 24,,,in-4,"BRONDEX, Albert & MORY, Didier",Chan Heurlin: ou les fiancailles de Fanchon,1996,,bon ,
156,1,4,5,4 B 25,,,in-4,"HYONNE, Jérome",La vie littéraire de Nancy de 1900 à 1914,1996,,bon ,
157,1,4,5,4 B 25,,,in-4,"HYONNE, Jérome",La vie littéraire de Nancy de 1900 à 1915,1996,,bon ,
158,1,4,5,4 B 26,,,in-4,"[FOULQUIER, Jean Antoine-Valentin]",[Molière - théâtre: Eaux Fortes],1878,,bon ,
159,1,4,5,4 B 27,,,in-4,"LANHER, Jean (dir.)",Le fanfan et la gogotte (deuxième partie),1988,,bon ,
160,1,4,5,4 B 28,,,in-4,collectif,Metz littéraire en 1854,1854,,bon ,"1,14 m"
161,1,4,5,4 B 1,,,in-8,collectif,Les métamorphoses du Jour,1869,,bon ,
162,1,4,5,4 B 2,,,in-8,"GRANVILLE, J. J. et al.",Les Fleurs animées (tome premier),1867,,bon ,
163,1,4,5,4 B 3,,,in-8,"GRANVILLE, J. J. et MERY",Les étoiles dernière féerie,1849,,bon ,
164,1,4,5,4 B 4,,,in-4,"REIBAUD, Louis et GRANVILLE, J. J.",Jérome Paturot à la recherche d'une position sociale,1848,,bon ,
165,1,4,5,4 B 5,,,in-4,"GRANVILLE, J. J.",Un autre monde,1844,,bon ,
166,1,4,5,4 B 6,,,in-4,"GRANVILLE, J. J.",Scènes de la vie privée et publique des animaux,1842,,bon ,
167,1,4,5,4 B 6,,,in-4,"GRANVILLE, J. J.",Scènes de la vie privée et publique des animaux,1844,,bon ,
168,1,4,5,4 B 7,,,in-4,"GRANVILLE, J. J.",Fables de S. Lavalette,1847,,bon ,
169,1,4,5,4 B 8,,,in-4,"BRUYERE, la",Les caractères ou les moeurs de ce siècle,1845,,bon ,
170,1,4,5,4 B 9,,,in-4,"ABEL, Charles",Le mystère de St. Clément,1861,,bon ,
171,1,4,5,4 B 2,,,in-8,"GRANVILLE, J. J. et al.",Les Fleurs animées (tome second),1867,,bon ,
172,1,5,2,4 C 10,,,in-fol.,ROBERT,Atlas portatif universel et militaire,1748,,bon ,
173,1,5,2,4 C 100,,,in-fol.,anonyme,"Une mémoire, un avenir",2002,,bon,
174,1,5,2,4 C 101,,,in-fol.,"POST, Sylvain",L'herbier de pierre,2004,,bon,
175,1,5,2,4 C 102,,,in-4,"SCHONTZ, André",Les voies naviguables en Lorraine,2004,,bon,
176,1,5,2,4 C 102,,,in-4,"SCHONTZ, André",Les voies naviguables en Lorraine,2004,,bon,
177,1,5,1,4 C 11,,,in-4,"FRAISSE, Frédéric",Statistique agricole de la grande et moyenne propriété,1878,,mauvais,
178,1,5,1,4 C 12,,,in-4,"PENOT, Achille",Statistique générale du département du Haut-Rhin,1831,,bon ,
179,1,5,1,4 C 13,,,in-4,"STOFFEL, Georg",Topographiches worterbuch des Ober-Elsasses,1876,,bon ,
180,1,5,1,4 C 14,,,in-4,Société royale des sciences et des arts de Metz,Mémoires concernant la navigation des rivières de la province des trois évéchés et le commerce de la ville de Metz,1773,,bon ,
181,1,5,1,4 C 14,,,in-4,Société royale des sciences et des arts de Metz,Mémoires concernant la navigation des rivières de la province des trois évéchés et le commerce de la ville de Metz,1773,,bon ,
182,1,5,1,4 C 15,,,in-4,"QUERLON, de",Journal de voyage de Michel de Montaigne en Italie,1774,,bon ,
183,1,5,1,4 C 16,,,in-4,Anonyme,Mémoire pour un chemin de fer de Nancy et Metz a Sarguemines et Sarrebruck...,1838,,bon ,
184,1,5,1,4 C 17,,,in-4,CASSINI DE THURY,Description géométrique de la France,1783,,bon ,
185,1,5,1,4 C 18,,,in-4,GUILLOT,Géographie pittoresque et monumentale de la France,s.d.,,bon ,
186,16,65,1,4 C 18,,,in-8,"CLOUËT, abbé",Histoire de Verdun (tome II),1868,,bon,
187,1,5,1,4 C 19,,,in-4,LECREULX,"Mémoire sur les avantages de la navigation des canaux et rivières qui traversent les départements de la Meurthe, des Vosges, de la Meuse et de la Moselle",1795,,moyen,
188,1,5,1,4 C 41,,,in-4,"COUSIN, Georges",Etudes de géographie ancienne,1906,,bon ,
189,1,5,1,4 C 42,,,in-4,Anonyme,[Plantes de Lorraine] Volume de planches,1764,,bon ,
190,1,5,1,4 C 43,,,in-4,"ROSEROT, Alphonse",Dictionnaire topographique du département de la Haute-Marne,1903,1,bon ,"1,27m "
191,1,5,1,4 C 44,1,,in-4,collectif,Description abrégé du département de la Meurthe,1799,[d],bon,contient 23 documents 
192,1,5,1,4 C 44,2,,in-4,HARTENBERGER & MILLOT,Au fil de l'eau - notes de voyage,,[d],bon,contient 23 documents 
193,1,5,1,4 C 44,3,,in-4,PRAULT-SAINT-GERMAIN Marcel,Projet de la seule navigation en Europe et joindroit le Rhin à la Seine - Navigation Bonaparte,1804,[d],bon,contient 23 documents 
194,1,5,1,4 C 44,4,,in-4,[Calmet Dom Augustin],Dissertation sur les grands chemins de Lorraine,1727,[d],bon,contient 23 documents 
195,1,5,1,4 C 44,5,,in-4,anonyme,"Navigation intérieure de la Lorraine son utilité, sa facilité",1786,[d],bon,contient 23 documents 
196,1,5,1,4 C 44,6,,in-4,GUIGNARD-BARROIS,Chemin de fer de Paris à Strasbourg (emprise entre Bar-le-Duc et Toul),1844,[d],bon,contient 23 documents 
197,1,5,1,4 C 44,7,,in-4,VIONNOIS,Mémoires sur les routes du département de la Meurthe,1856,[d],bon,contient 23 documents 
198,1,5,1,4 C 44,8,,in-4,anonyme,Chemin de fer d'intérêt local de Meurthe et Moselle - tableau des subventions communales,1872,[d],bon,contient 23 documents 
199,1,5,1,4 C 44,9,,in-4,collectif,Cahier des charges de la concession d'un chemin de fer de Sarrebourg à Fénétrange,1867,[d],bon,contient 23 documents 
200,1,5,1,4 C 44,10,,in-4,collectif,Cahier des charges de la concession d'un chemin de fer de Nancy à Vézelise,1868,[d],bon,contient 23 documents 
201,1,5,1,4 C 44,11,,in-4,collectif,Cahier des charges de la concession d'un chemin de fer de Château-Salins à Vic,1868,[d],bon,contient 23 documents 
202,1,5,1,4 C 44,12,,in-4,collectif,Traité de concession de Nancy à Château-Salins et à Vic,1868,[d],bon,contient 23 documents 
203,1,5,1,4 C 44,13,,in-4,CHANTRE Ernest,Projet de légende internationale dans les cartes archéologiques préhistoriques,1874,[d],bon,contient 23 documents 
204,1,5,1,4 C 44,14,,in-4,GUERIN R.,Essai sur la istribution géographique des populations primitives de l'Oise,1873,[d],bon,contient 23 documents 
205,1,5,1,4 C 44,15,,in-4,PAYS François,Serenissimo principi a Lotharingia Thesis Medica de temperatura diversorum Lotharingiae tractuum,1728,[d],bon,contient 23 documents 
206,1,5,1,4 C 44,16,,in-4,collectif,Mémoire du comité de Mulhouse sur le chemin de fer projeté à travers la chaïne des Vosges,s.d.,[d],bon,contient 23 documents 
207,1,5,1,4 C 44,17,,in-4,VIVENOT-LAMY,Note sur la question d'existence de la houille dans les départements de Meurthe et Moselle et des Vosges,1885,[d],bon,contient 23 documents 
208,1,5,1,4 C 44,18,,in-4,LONGNON Auguste,Géographie de la Gaule au VI e siècle Atlas,1878,[d],bon,contient 23 documents 
209,1,5,1,4 C 44,19,,in-4,anonyme,ableau des distances de chaque commune aux chefs-lieux du département des Ardennes,1878,[d],bon,contient 23 documents 
210,1,5,1,4 C 44,20,,in-4,anonyme,Carte forestière et touristique du massif de Haye,1936,[d],bon,contient 23 documents 
211,1,5,1,4 C 44,21,,in-4,collectif,La Meurthe et Moselle au coeur de l'Europe,1975,[d],bon,contient 23 documents 
212,1,5,1,4 C 44,22,,in-4,CANAGUIER Yves,Aménagement du Vieux-Pré -EDF - Etude d'insertion dans le site d'une retenue d'eau,1976,[d],bon,contient 23 documents 
213,1,5,1,4 C 44,23,,in-4,DEMEULDRE Aimée,La Lorraine Belge,1977,[d],bon,contient 23 documents 
214,1,5,1,4 C 45,,,in-4,anonyme,Chemin de fer de Chaumont à Toul,1862,,bon,
215,1,5,1,4 C 46,,,in-4,,[reliure de documents],,[d],bon,
216,1,5,1,4 C 46,,,in-4,,[reliure de documents],,[d],bon,
217,1,5,1,4 C 47,,,in-4,"DESPIQUES, Paul",Notre pays meusien,1898,,bon,
218,1,5,1,4 C 47,,,in-4,"DESPIQUES, Paul",Notre pays meusien,1898,,bon,
